model,sample_index,image_name,target_mode,selector,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,map_rank_spearman,map_top_half_iou,candidate_zero_gradcam
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,predicted,patch_score,0.15,0,True,0.1947193145751953,0.022268421947956085,False,1.0,1.0,1.0
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,predicted,patch_score,0.15,0,True,-0.27231502532958984,-0.03491123020648956,False,1.0,1.0,1.0
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,predicted,patch_score,0.15,0,True,0.8079948425292969,0.12554681301116943,False,1.0,1.0,1.0
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,predicted,patch_score,0.15,0,True,0.5909013748168945,0.08287938684225082,False,1.0,1.0,1.0
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,predicted,patch_score,0.15,0,True,-0.16607189178466797,-0.02393759787082672,False,1.0,1.0,1.0
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,predicted,patch_score,0.15,0,True,0.1749105453491211,0.023910656571388245,False,1.0,1.0,1.0
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,predicted,patch_score,0.15,0,True,0.3291473388671875,0.03874647617340088,False,1.0,1.0,1.0
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,predicted,patch_score,0.15,0,True,0.4140281677246094,0.1020866185426712,False,1.0,1.0,1.0
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,predicted,patch_score,0.15,1,True,0.14917945861816406,0.016459710896015167,False,1.0,1.0,1.0
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,predicted,patch_score,0.15,1,True,-0.16869831085205078,-0.025377780199050903,False,1.0,1.0,1.0
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,predicted,patch_score,0.15,1,True,0.9992408752441406,0.29163509607315063,False,1.0,1.0,1.0
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,predicted,patch_score,0.15,1,True,0.9577398300170898,0.1262664794921875,False,1.0,1.0,1.0
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,predicted,patch_score,0.15,1,True,0.1450061798095703,0.020433828234672546,False,1.0,1.0,1.0
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,predicted,patch_score,0.15,1,True,0.030443191528320312,0.004107460379600525,False,1.0,1.0,1.0
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,predicted,patch_score,0.15,1,True,0.08048152923583984,0.008559003472328186,False,1.0,1.0,1.0
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,predicted,patch_score,0.15,1,True,0.49221038818359375,0.08814206719398499,False,1.0,1.0,1.0
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,predicted,patch_score,0.15,2,True,0.22936248779296875,0.030019454658031464,False,1.0,1.0,1.0
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,predicted,patch_score,0.15,2,True,-0.1651477813720703,-0.025645241141319275,False,1.0,1.0,1.0
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,predicted,patch_score,0.15,2,True,0.6929531097412109,0.10449916869401932,False,1.0,1.0,1.0
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,predicted,patch_score,0.15,2,True,0.31336402893066406,0.009645417332649231,False,1.0,1.0,1.0
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,predicted,patch_score,0.15,2,True,-0.11319828033447266,-0.018300607800483704,False,1.0,1.0,1.0
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,predicted,patch_score,0.15,2,True,0.06570243835449219,0.008846700191497803,False,1.0,1.0,1.0
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,predicted,patch_score,0.15,2,True,0.14499378204345703,0.015782751142978668,False,1.0,1.0,1.0
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,predicted,patch_score,0.15,2,True,0.2580137252807617,0.03609563410282135,False,1.0,1.0,1.0
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,predicted,patch_score,0.15,3,True,0.3798847198486328,0.048328764736652374,False,1.0,1.0,1.0
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,predicted,patch_score,0.15,3,True,-0.21677684783935547,-0.030188657343387604,False,1.0,1.0,1.0
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,predicted,patch_score,0.15,3,True,0.7177934646606445,0.10896290093660355,False,1.0,1.0,1.0
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,predicted,patch_score,0.15,3,True,0.7124185562133789,0.07615994662046432,False,1.0,1.0,1.0
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,predicted,patch_score,0.15,3,True,0.012131690979003906,-0.0007256418466567993,False,1.0,1.0,1.0
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,predicted,patch_score,0.15,3,True,-0.0621490478515625,-0.007316581904888153,False,1.0,1.0,1.0
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,predicted,patch_score,0.15,3,True,0.21612071990966797,0.023946747183799744,False,1.0,1.0,1.0
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,predicted,patch_score,0.15,3,True,0.44046878814697266,0.06478360295295715,False,1.0,1.0,1.0
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_relu,0.15,0,True,0.10687541961669922,0.012677483260631561,False,0.17742672562599182,0.2075471729040146,1.0
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_relu,0.15,0,True,-0.2269601821899414,-0.02922753244638443,False,-0.4865384101867676,0.4883720874786377,1.0
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_relu,0.15,0,True,0.4449033737182617,0.057076193392276764,False,0.08058607578277588,0.3913043439388275,1.0
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,predicted,gradcam_relu,0.15,0,True,0.49776554107666016,0.05547129362821579,False,0.40155673027038574,0.2075471729040146,1.0
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,predicted,gradcam_relu,0.15,0,True,-0.22762584686279297,-0.03287827968597412,False,0.09445969760417938,0.30612245202064514,1.0
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_relu,0.15,0,True,0.24255752563476562,0.03338320553302765,False,-0.4238094985485077,0.4545454680919647,1.0
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_relu,0.15,0,True,0.3981790542602539,0.04872553050518036,False,-0.4532508850097656,0.4883720874786377,1.0
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_relu,0.15,0,True,0.232696533203125,0.031254857778549194,False,-0.20828752219676971,0.4883720874786377,1.0
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_relu,0.15,1,True,0.3999004364013672,0.053662337362766266,False,0.17742672562599182,0.2075471729040146,1.0
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_relu,0.15,1,True,0.28711986541748047,0.0441807359457016,False,-0.4865384101867676,0.4883720874786377,1.0
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_relu,0.15,1,True,0.48738670349121094,0.06438400596380234,False,0.08058607578277588,0.3913043439388275,1.0
