model,sample_index,image_name,target_mode,selector,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,map_rank_spearman,map_top_half_iou,candidate_zero_gradcam
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,patch_score,0.15,0,True,0.10402870178222656,0.017969563603401184,False,1.0,1.0,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,patch_score,0.15,0,True,0.06430530548095703,-0.00030594319105148315,False,1.0,1.0,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,patch_score,0.15,0,True,1.334895133972168,0.43577879667282104,False,1.0,1.0,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,patch_score,0.15,0,True,0.9376029968261719,0.18599796295166016,False,1.0,1.0,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,patch_score,0.15,0,True,-0.28116416931152344,-0.048380181193351746,False,1.0,1.0,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,patch_score,0.15,0,True,-0.0780782699584961,-0.006695985794067383,False,1.0,1.0,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,patch_score,0.15,0,True,-0.016704559326171875,-0.0017752200365066528,False,1.0,1.0,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,patch_score,0.15,0,True,0.063201904296875,0.0052560195326805115,False,1.0,1.0,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,patch_score,0.15,1,True,0.012727737426757812,0.0006188154220581055,False,1.0,1.0,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,patch_score,0.15,1,True,0.11187458038330078,0.004372827708721161,False,1.0,1.0,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,patch_score,0.15,1,True,0.8953456878662109,0.19372780621051788,False,1.0,1.0,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,patch_score,0.15,1,True,1.0082626342773438,0.15764501690864563,False,1.0,1.0,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,patch_score,0.15,1,True,-0.17111968994140625,-0.03353595733642578,False,1.0,1.0,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,patch_score,0.15,1,True,-0.25347232818603516,-0.0271269753575325,False,1.0,1.0,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,patch_score,0.15,1,True,0.06394386291503906,0.006242692470550537,False,1.0,1.0,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,patch_score,0.15,1,True,0.12432003021240234,0.011736996471881866,False,1.0,1.0,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,patch_score,0.15,2,True,0.033840179443359375,0.0024279356002807617,False,1.0,1.0,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,patch_score,0.15,2,True,-0.2666492462158203,-0.018934078514575958,False,1.0,1.0,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,patch_score,0.15,2,True,1.1474580764770508,0.2505912184715271,False,1.0,1.0,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,patch_score,0.15,2,True,0.4779052734375,0.032786399126052856,False,1.0,1.0,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,patch_score,0.15,2,True,-0.2582530975341797,-0.04665611684322357,False,1.0,1.0,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,patch_score,0.15,2,True,-0.08166313171386719,-0.008178040385246277,False,1.0,1.0,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,patch_score,0.15,2,True,0.061285972595214844,0.006223618984222412,False,1.0,1.0,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,patch_score,0.15,2,True,-0.05171012878417969,-0.006782084703445435,False,1.0,1.0,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,patch_score,0.15,3,True,0.08905315399169922,0.012671217322349548,False,1.0,1.0,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,patch_score,0.15,3,True,-0.07053279876708984,-0.008971240371465683,False,1.0,1.0,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,patch_score,0.15,3,True,0.9333648681640625,0.184322789311409,False,1.0,1.0,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,patch_score,0.15,3,True,0.6498489379882812,0.12527549266815186,False,1.0,1.0,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,patch_score,0.15,3,True,-0.24582481384277344,-0.04414378106594086,False,1.0,1.0,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,patch_score,0.15,3,True,-0.04012298583984375,-0.003246009349822998,False,1.0,1.0,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,patch_score,0.15,3,True,0.08805274963378906,0.008709803223609924,False,1.0,1.0,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,patch_score,0.15,3,True,-0.07133960723876953,-0.00439220666885376,False,1.0,1.0,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_relu,0.15,0,True,0.06568336486816406,0.006528615951538086,False,0.17259041965007782,0.3243243098258972,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_relu,0.15,0,True,-0.5949907302856445,-0.031178120523691177,False,0.21481405198574066,0.2810457646846771,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_relu,0.15,0,True,0.42226219177246094,0.05181281268596649,False,0.11191260069608688,0.35172414779663086,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,gradcam_relu,0.15,0,True,0.8263559341430664,0.07190293073654175,False,0.1773589700460434,0.30666667222976685,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,gradcam_relu,0.15,0,True,-0.10504436492919922,-0.023414388298988342,False,0.0665396973490715,0.3154362440109253,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_relu,0.15,0,True,-0.1236724853515625,-0.011893123388290405,False,-0.035826247185468674,0.3802816867828369,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_relu,0.15,0,True,0.08206748962402344,0.008274450898170471,False,0.34578490257263184,0.21739129722118378,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_relu,0.15,0,True,-0.09326934814453125,-0.006371438503265381,False,0.28531745076179504,0.2810457646846771,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_relu,0.15,1,True,-0.0033817291259765625,-0.0018659159541130066,False,0.17259041965007782,0.3243243098258972,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_relu,0.15,1,True,-0.7183723449707031,-0.03398877754807472,False,0.21481405198574066,0.2810457646846771,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_relu,0.15,1,True,1.2394790649414062,0.35933560132980347,False,0.11191260069608688,0.35172414779663086,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,gradcam_relu,0.15,1,True,0.6264839172363281,0.10373371839523315,False,0.1773589700460434,0.30666667222976685,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,gradcam_relu,0.15,1,True,-0.23166561126708984,-0.043757423758506775,False,0.0665396973490715,0.3154362440109253,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_relu,0.15,1,True,-0.0582733154296875,-0.0031959712505340576,False,-0.035826247185468674,0.3802816867828369,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_relu,0.15,1,True,0.018186569213867188,0.0017006471753120422,False,0.34578490257263184,0.21739129722118378,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_relu,0.15,1,True,-0.04274940490722656,0.0013326182961463928,False,0.28531745076179504,0.2810457646846771,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_relu,0.15,2,True,0.013577461242675781,0.0009263902902603149,False,0.17259041965007782,0.3243243098258972,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_relu,0.15,2,True,-0.4888620376586914,-0.025939736515283585,False,0.21481405198574066,0.2810457646846771,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_relu,0.15,2,True,0.8288850784301758,0.19963957369327545,False,0.11191260069608688,0.35172414779663086,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,gradcam_relu,0.15,2,True,0.6448373794555664,0.09338647127151489,False,0.1773589700460434,0.30666667222976685,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,gradcam_relu,0.15,2,True,-0.12261962890625,-0.02749001979827881,False,0.0665396973490715,0.3154362440109253,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_relu,0.15,2,True,-0.0741424560546875,-0.006520390510559082,False,-0.035826247185468674,0.3802816867828369,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_relu,0.15,2,True,0.017945289611816406,0.0017736777663230896,False,0.34578490257263184,0.21739129722118378,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_relu,0.15,2,True,0.031032562255859375,0.004287905991077423,False,0.28531745076179504,0.2810457646846771,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_relu,0.15,3,True,-0.01870250701904297,-0.003417104482650757,False,0.17259041965007782,0.3243243098258972,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_relu,0.15,3,True,-0.5670242309570312,-0.02886710688471794,False,0.21481405198574066,0.2810457646846771,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_relu,0.15,3,True,0.7457695007324219,0.1450403481721878,False,0.11191260069608688,0.35172414779663086,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,gradcam_relu,0.15,3,True,0.45613670349121094,0.022699087858200073,False,0.1773589700460434,0.30666667222976685,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,gradcam_relu,0.15,3,True,-0.06530570983886719,-0.018808096647262573,False,0.0665396973490715,0.3154362440109253,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_relu,0.15,3,True,-0.032172203063964844,-0.0020368248224258423,False,-0.035826247185468674,0.3802816867828369,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_relu,0.15,3,True,-0.009374618530273438,-0.0015169233083724976,False,0.34578490257263184,0.21739129722118378,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_relu,0.15,3,True,0.033336639404296875,0.005056887865066528,False,0.28531745076179504,0.2810457646846771,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_signed,0.15,0,True,0.09263420104980469,0.009638190269470215,False,0.17259041965007782,0.3243243098258972,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_signed,0.15,0,True,-0.005167961120605469,0.011820152401924133,False,0.21481405198574066,0.2810457646846771,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_signed,0.15,0,True,0.935582160949707,0.1978442221879959,False,0.11191260069608688,0.35172414779663086,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,gradcam_signed,0.15,0,True,0.46089649200439453,0.06439557671546936,False,0.1773589700460434,0.30666667222976685,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,gradcam_signed,0.15,0,True,-0.05185890197753906,-0.016850993037223816,False,0.0665396973490715,0.3154362440109253,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_signed,0.15,0,True,-0.12451171875,-0.01275382936000824,False,-0.035826247185468674,0.3802816867828369,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_signed,0.15,0,True,0.05183601379394531,0.005472004413604736,False,0.34578490257263184,0.21739129722118378,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_signed,0.15,0,True,0.08466529846191406,0.008380666375160217,False,0.28531745076179504,0.2810457646846771,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_signed,0.15,1,True,-0.059295654296875,-0.0074029043316841125,False,0.17259041965007782,0.3243243098258972,1.0
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,predicted,gradcam_signed,0.15,1,True,-0.6744356155395508,-0.03368188440799713,False,0.21481405198574066,0.2810457646846771,1.0
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,predicted,gradcam_signed,0.15,1,True,0.7713584899902344,0.18695227801799774,False,0.11191260069608688,0.35172414779663086,1.0
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,predicted,gradcam_signed,0.15,1,True,0.3825664520263672,0.01886644959449768,False,0.1773589700460434,0.30666667222976685,1.0
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,predicted,gradcam_signed,0.15,1,True,-0.08458518981933594,-0.018442630767822266,False,0.0665396973490715,0.3154362440109253,1.0
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,predicted,gradcam_signed,0.15,1,True,0.1196136474609375,0.01853106915950775,False,-0.035826247185468674,0.3802816867828369,1.0
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,predicted,gradcam_signed,0.15,1,True,0.022962570190429688,0.0020594745874404907,False,0.34578490257263184,0.21739129722118378,1.0
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,predicted,gradcam_signed,0.15,1,True,-0.007174491882324219,-0.0017492324113845825,False,0.28531745076179504,0.2810457646846771,1.0
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,predicted,gradcam_signed,0.15,2,True,-0.025543212890625,-0.004430614411830902,False,0.17259041965007782,0.3243243098258972,1.0
