model,layer,global_mode,source_name,grid_size,native_token_count,linear_cka_to_final_global,within_class_cosine,between_class_cosine,class_cosine_margin,split_1nn_accuracy,split_1nn_evaluated,global_flip_cosine,global_phase_cosine,score_flip_spearman,score_phase_spearman,score_normalized_entropy,score_top_probability_mass,score_std
vit_base_patch16_224,block3,cls,blocks[2],"[14, 14]",196,0.19968272745609283,nan,0.9962328672409058,nan,nan,0,0.9999038092792034,0.9998882692307234,0.8328388654626906,0.6104344674386084,0.9889583294279873,0.23625238903332502,0.030048611501115374
vit_base_patch16_224,block6,cls,blocks[5],"[14, 14]",196,0.29115986824035645,nan,0.9566457271575928,nan,nan,0,0.999465889763087,0.9979558065533638,0.828022793866694,0.47093375894473866,0.9895276981405914,0.24533006537239999,0.02957315364619717
vit_base_patch16_224,block9,cls,blocks[8],"[14, 14]",196,0.4497547447681427,nan,0.9384307265281677,nan,nan,0,0.9993980224244297,0.9967190218158066,0.7823911267332733,0.3949504668125883,0.5586861176416278,0.9477563314139843,0.1630756611120887
vit_base_patch16_224,block12,cls,blocks[11],"[14, 14]",196,1.0,nan,0.8531669974327087,nan,nan,0,0.9981102966703475,0.9907770710997283,0.8440120168961585,0.6079822032479569,0.9450076767243445,0.31130124314222485,0.1057861506997142
cait_s24_224,block6_gap,gap,blocks[5]+gap,"[14, 14]",196,0.18232417106628418,nan,0.7829101085662842,nan,nan,0,0.9901726138778031,0.9887727522291243,0.9714948711916804,0.8701808988116682,0.9500102801248431,0.3430760521441698,0.09198988502612337
cait_s24_224,block12_gap,gap,blocks[11]+gap,"[14, 14]",196,0.22091257572174072,nan,0.5836997032165527,nan,nan,0,0.9783794251270592,0.9904637136496603,0.9678327897563577,0.8339334279298782,0.942397675011307,0.36566809890791774,0.10090595734072849
cait_s24_224,block18_gap,gap,blocks[17]+gap,"[14, 14]",196,0.28502771258354187,nan,0.5706450343132019,nan,nan,0,0.983862575609237,0.9860723833553493,0.877722080796957,0.6809560020919889,0.9557484439574182,0.3366532879881561,0.0781638688640669
cait_s24_224,block24_gap,gap,blocks[23]+gap,"[14, 14]",196,0.3743026554584503,nan,0.6112008690834045,nan,nan,0,0.9962774501182139,0.9843802619725466,0.8505658050999045,0.6297390749678016,0.9076853324659169,0.4404010951984674,0.13003998826025054
cait_s24_224,block24_class,class_attention_cls,blocks[23]+blocks_token_only[1],"[14, 14]",196,1.0,nan,0.41724932193756104,nan,nan,0,0.9926561317406595,0.9740236243233085,0.7927888929843903,0.5476801908807829,0.9671772588044405,0.31247366161551327,0.049100143573014066
pit_b_224,stage1_block3,cls,transformers[0].blocks[2],"[31, 31]",961,0.3172268867492676,nan,0.9656000733375549,nan,nan,0,0.9972690478898585,0.99856295902282,0.7101228404790163,0.7673494480550289,0.9884398854337633,0.2588357754284516,0.04052622721064836
pit_b_224,stage2_block3,cls,transformers[1].blocks[2],"[16, 16]",256,0.370078980922699,nan,0.9933779835700989,nan,nan,0,0.9997976087033749,0.9996992419473827,0.9338767742738128,0.7447081180289388,0.9545616405084729,0.36847239593043923,0.06658342169248499
pit_b_224,stage2_block6,cls,transformers[1].blocks[5],"[16, 16]",256,0.5268511176109314,nan,0.7396425604820251,nan,nan,0,0.9958830769173801,0.9873785167001188,0.897754586301744,0.6474474631249905,0.7431130416225642,0.7044067624956369,0.09974917187355459
pit_b_224,stage3_block2,cls,transformers[2].blocks[1],"[8, 8]",64,0.625154435634613,nan,0.651522696018219,nan,nan,0,0.9960493654944003,0.9847730644978583,0.8264619270339608,0.6303413679124787,0.6449256569612771,0.853189623914659,0.15003187308320776
pit_b_224,stage3_block4,cls,transformers[2].blocks[3],"[8, 8]",64,1.0,nan,0.7077168226242065,nan,nan,0,0.9960869853384793,0.9862477770075202,0.765013620024547,0.5599877311615273,0.5863115568645298,0.8750528451055288,0.17676499113440514
visformer_small,stage1_block4,gap,stage1[3]+gap,"[28, 28]",784,0.27900728583335876,nan,0.5994903445243835,nan,nan,0,0.994795857463032,0.9989406364038587,0.9697447754442692,0.9396417336538434,0.955295673571527,0.34821869689039886,0.113620803138474
visformer_small,stage1_block7,gap,stage1[6]+gap,"[28, 28]",784,0.3248141407966614,nan,0.7183285355567932,nan,nan,0,0.997637303546071,0.9986414280720055,0.9503159830346704,0.9273771927691996,0.9687358629889786,0.31391463917680085,0.0833200243068859
visformer_small,stage2_block4,gap,stage2[3]+gap,"[14, 14]",196,0.6150410175323486,nan,0.697994589805603,nan,nan,0,0.9976334744133055,0.9919625804759562,0.9296870706602931,0.609751493204385,0.9575837394222617,0.3339760093949735,0.08020177451544441
visformer_small,stage3_block2,gap,stage3[1]+gap,"[7, 7]",49,0.7716554403305054,nan,0.3174823522567749,nan,nan,0,0.9936154489405453,0.9766490934416652,0.9617323162965477,0.7350757352542132,0.8614204567857087,0.43682187842205167,0.16483548458199948
visformer_small,stage3_block4,gap,stage3[3]+gap,"[7, 7]",49,1.0,nan,0.4714300036430359,nan,nan,0,0.9916137014515698,0.9738621264696121,0.9446946852840483,0.6927957686129957,0.8979050568304956,0.39210958522744477,0.12736051413230598
