model,layer,global_mode,image_name,label,global_flip_cosine,global_phase_cosine,score_flip_spearman,score_phase_spearman,score_normalized_entropy,score_top_probability_mass,score_std
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024479.JPEG,793,0.999901533126831,0.9998425245285034,0.8543601632118225,0.5615217089653015,0.9845156073570251,0.2475459724664688,0.031158683821558952
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024540.JPEG,613,0.9999370574951172,0.9998469352722168,0.8903632760047913,0.6490145921707153,0.9902862310409546,0.23241306841373444,0.030479170382022858
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024550.JPEG,656,0.9999539852142334,0.9998858571052551,0.8177114725112915,0.5514379739761353,0.9931137561798096,0.2154722511768341,0.02712857723236084
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024609.JPEG,68,0.9999366998672485,0.9998592734336853,0.8387795090675354,0.48868826031684875,0.994464635848999,0.21198219060897827,0.02402789518237114
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024637.JPEG,203,0.9999128580093384,0.9998939633369446,0.8880667090415955,0.6964068412780762,0.9886771440505981,0.24495893716812134,0.032402634620666504
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024710.JPEG,974,0.999948263168335,0.9999142289161682,0.8783256411552429,0.7059231996536255,0.9928076863288879,0.2151409387588501,0.02756107784807682
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024753.JPEG,51,0.9999296069145203,0.9998922348022461,0.887650728225708,0.7151001691818237,0.988595724105835,0.23496313393115997,0.03136525675654411
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024781.JPEG,782,0.9997761845588684,0.9998708367347717,0.8588943481445312,0.5013315677642822,0.9882635474205017,0.24037405848503113,0.03190546855330467
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00024926.JPEG,373,0.9999639987945557,0.9999188184738159,0.816108226776123,0.5997529625892639,0.9948235154151917,0.20594559609889984,0.02277354523539543
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025075.JPEG,129,0.9999095797538757,0.9999247789382935,0.8883806467056274,0.718058168888092,0.9903215765953064,0.2328726202249527,0.029795514419674873
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025315.JPEG,333,0.9999567270278931,0.9998863935470581,0.8234474658966064,0.6322258710861206,0.994354784488678,0.20922061800956726,0.024579692631959915
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025390.JPEG,932,0.9999537467956543,0.999909520149231,0.8058602809906006,0.6139215230941772,0.9934150576591492,0.22046881914138794,0.025670301169157028
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025402.JPEG,500,0.9999050498008728,0.9999024868011475,0.9354971647262573,0.7937970757484436,0.9879312515258789,0.24699261784553528,0.0352141372859478
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025408.JPEG,669,0.9999802112579346,0.9998608827590942,0.8179426193237305,0.6284646987915039,0.9802994132041931,0.27339163422584534,0.034057702869176865
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025416.JPEG,569,0.9999433159828186,0.9998599290847778,0.6732717156410217,0.4147455096244812,0.981576144695282,0.27649664878845215,0.03518640995025635
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025440.JPEG,987,0.9994271993637085,0.999945342540741,0.8200910091400146,0.5939532518386841,0.9899686574935913,0.22474166750907898,0.026208819821476936
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025446.JPEG,994,0.9998973608016968,0.9998773336410522,0.8485460877418518,0.6318609714508057,0.9917479753494263,0.23168990015983582,0.028716107830405235
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025563.JPEG,691,0.9998921751976013,0.9999209642410278,0.866265594959259,0.7009076476097107,0.9908120036125183,0.2274399846792221,0.026681173592805862
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025800.JPEG,390,0.9998776316642761,0.9999276995658875,0.8403207063674927,0.621619462966919,0.9820552468299866,0.2651672959327698,0.034581903368234634
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025844.JPEG,616,0.9999274015426636,0.9998989701271057,0.8536238074302673,0.6565786600112915,0.9747831225395203,0.2877315580844879,0.03967475891113281
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025851.JPEG,251,0.9999760389328003,0.9999313354492188,0.851837158203125,0.49597495794296265,0.9934127330780029,0.22358211874961853,0.025473181158304214
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025907.JPEG,837,0.999932050704956,0.9998993277549744,0.8107403516769409,0.6366024017333984,0.9941697120666504,0.21632492542266846,0.023740027099847794
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00025989.JPEG,621,0.9999264478683472,0.999906063079834,0.8219398260116577,0.7256094217300415,0.9920423626899719,0.23020760715007782,0.028139330446720123
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026068.JPEG,95,0.9999186992645264,0.9998878240585327,0.7656846046447754,0.46425265073776245,0.9872947335243225,0.24063940346240997,0.029017802327871323
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026088.JPEG,684,0.9999027848243713,0.9998970031738281,0.8551283478736877,0.6425551176071167,0.9921355247497559,0.218267560005188,0.0295697208493948
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026113.JPEG,509,0.9998788833618164,0.9998478293418884,0.8964817523956299,0.6588736772537231,0.9913322925567627,0.231693834066391,0.029613103717565536
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026139.JPEG,127,0.9999525547027588,0.9998910427093506,0.822970986366272,0.7678457498550415,0.9878880977630615,0.2500618100166321,0.03477742522954941
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026145.JPEG,527,0.9998325109481812,0.9998654723167419,0.9261784553527832,0.7460494637489319,0.9829748868942261,0.26136234402656555,0.03729065880179405
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026189.JPEG,404,0.9999593496322632,0.9997773766517639,0.8647515177726746,0.32720956206321716,0.989763081073761,0.2324105203151703,0.028401996940374374
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026202.JPEG,35,0.9998963475227356,0.9998993873596191,0.7982293367385864,0.6349002122879028,0.9938722848892212,0.21954014897346497,0.024445122107863426
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026226.JPEG,549,0.9999507665634155,0.9998775124549866,0.8433918952941895,0.6580098867416382,0.9778249263763428,0.28345948457717896,0.04074938967823982
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026280.JPEG,408,0.9999492168426514,0.999873697757721,0.7529950737953186,0.6580226421356201,0.9842084646224976,0.2555975019931793,0.03204952925443649
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026315.JPEG,804,0.9998552799224854,0.9999496340751648,0.7987170219421387,0.5381730794906616,0.9793057441711426,0.2718018889427185,0.033158279955387115
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026328.JPEG,422,0.9999507069587708,0.9998362064361572,0.729332447052002,0.4943811893463135,0.9935942888259888,0.2109558880329132,0.0234146099537611
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026332.JPEG,473,0.9998569488525391,0.9998459219932556,0.8751460313796997,0.3979424238204956,0.9897438287734985,0.23896975815296173,0.028572969138622284
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026390.JPEG,341,0.999943733215332,0.999823808670044,0.8954505920410156,0.7546080350875854,0.9912478923797607,0.22856834530830383,0.03056163899600506
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026397.JPEG,0,0.999855101108551,0.9998413324356079,0.8653093576431274,0.6666544675827026,0.9907166361808777,0.2293037474155426,0.03013554774224758
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026436.JPEG,733,0.9999020099639893,0.9999451041221619,0.7722796201705933,0.5042130947113037,0.9862892031669617,0.25384968519210815,0.030474169179797173
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026490.JPEG,4,0.999904215335846,0.9999527931213379,0.7436476945877075,0.48126929998397827,0.9911386966705322,0.2383478283882141,0.029292838647961617
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026510.JPEG,140,0.9999457597732544,0.9998750686645508,0.8721131086349487,0.5947405695915222,0.9922281503677368,0.2209976762533188,0.02910284511744976
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026559.JPEG,891,0.9999220967292786,0.999914824962616,0.8203316926956177,0.6269809007644653,0.9941092729568481,0.21565581858158112,0.024564318358898163
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026627.JPEG,401,0.9999057650566101,0.9998548030853271,0.8372718095779419,0.7062212824821472,0.9883217215538025,0.23954682052135468,0.03299155831336975
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026692.JPEG,165,0.999951958656311,0.999920129776001,0.7884277105331421,0.6650973558425903,0.9946478605270386,0.20963148772716522,0.023727936670184135
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026737.JPEG,371,0.9999345541000366,0.9999057054519653,0.8247958421707153,0.6449441909790039,0.9928045272827148,0.21835218369960785,0.027803711593151093
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026743.JPEG,717,0.999851405620575,0.9998940229415894,0.8913801312446594,0.717031717300415,0.9911577701568604,0.2174675166606903,0.034747034311294556
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026754.JPEG,880,0.9999369382858276,0.999866783618927,0.7739052772521973,0.5027755498886108,0.9904664754867554,0.2298889309167862,0.028291717171669006
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026803.JPEG,205,0.9998824596405029,0.9998785257339478,0.7663890719413757,0.5522619485855103,0.9952471852302551,0.20624619722366333,0.02233932726085186
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026901.JPEG,41,0.9999422430992126,0.9999373555183411,0.7581111192703247,0.634536862373352,0.9856389164924622,0.24266164004802704,0.03149852156639099
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026916.JPEG,859,0.9999578595161438,0.9998295903205872,0.8323948979377747,0.5656607151031494,0.9911206960678101,0.22703298926353455,0.0318010039627552
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026925.JPEG,118,0.9999076724052429,0.999883770942688,0.907101035118103,0.7778944969177246,0.9895979166030884,0.23979002237319946,0.032372284680604935
