model,sample_index,image_name,layer,layer_index,feature_source,grid_h,grid_w,strategy,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,selected_score_mean
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,0,True,-0.021773338317871094,-0.0020985305309295654,False,0.3326672911643982
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,0,True,0.2836790084838867,0.017136968672275543,False,0.3127017915248871
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,0,True,0.27765369415283203,0.056764230132102966,False,0.33356305956840515
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,0,True,0.6830024719238281,0.10995545983314514,False,0.3345085680484772
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,0,True,-0.3515758514404297,-0.05877390503883362,False,0.25753140449523926
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,0,True,-0.14829063415527344,-0.015629515051841736,False,0.3107099235057831
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,0,True,0.1294708251953125,0.013804778456687927,False,0.2832631766796112
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,0,True,0.029287338256835938,0.002235919237136841,False,0.32276198267936707
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,1,True,-0.021773338317871094,-0.0020985305309295654,False,0.3326672911643982
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,1,True,0.2836790084838867,0.017136968672275543,False,0.3127017915248871
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,1,True,0.27765369415283203,0.056764230132102966,False,0.33356305956840515
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,1,True,0.6830024719238281,0.10995545983314514,False,0.3345085680484772
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,1,True,-0.3515758514404297,-0.05877390503883362,False,0.25753140449523926
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,1,True,-0.14829063415527344,-0.015629515051841736,False,0.3107099235057831
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,1,True,0.1294708251953125,0.013804778456687927,False,0.2832631766796112
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,1,True,0.029287338256835938,0.002235919237136841,False,0.32276198267936707
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,2,True,-0.021773338317871094,-0.0020985305309295654,False,0.3326672911643982
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,2,True,0.2836790084838867,0.017136968672275543,False,0.3127017915248871
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,2,True,0.27765369415283203,0.056764230132102966,False,0.33356305956840515
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,2,True,0.6830024719238281,0.10995545983314514,False,0.3345085680484772
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,2,True,-0.3515758514404297,-0.05877390503883362,False,0.25753140449523926
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,2,True,-0.14829063415527344,-0.015629515051841736,False,0.3107099235057831
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,2,True,0.1294708251953125,0.013804778456687927,False,0.2832631766796112
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,2,True,0.029287338256835938,0.002235919237136841,False,0.32276198267936707
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,-0.021773338317871094,-0.0020985305309295654,False,0.3326672911643982
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,0.2836790084838867,0.017136968672275543,False,0.3127017915248871
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,0.27765369415283203,0.056764230132102966,False,0.33356305956840515
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,0.6830024719238281,0.10995545983314514,False,0.3345085680484772
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,-0.3515758514404297,-0.05877390503883362,False,0.25753140449523926
