model,split,calibration_size,evaluation_size,selected_strategy,calibration_loss_delta,calibration_loss_delta_high,calibration_loss_delta_low,calibration_loss_delta_deviation,evaluation_loss_delta_vs_random,evaluation_logit_delta_vs_random
cait_s24_224,0,32,32,low_score_extreme,0.011853331234306097,0.006442649872042239,0.011853331234306097,0.005004478269256651,0.02592440420994535,0.03318489342927933
cait_s24_224,1,32,32,low_score_extreme,0.01843962137354538,-0.005304371763486415,0.01843962137354538,0.01539106183918193,0.01933811407070607,0.06328916549682617
cait_s24_224,2,32,32,score_deviation_extreme,0.023032316385069862,0.00024223970831371844,0.017675554932793602,0.023032316385069862,0.0007043918303679675,-0.03992323577404022
cait_s24_224,3,32,32,score_deviation_extreme,0.019935689080739394,-0.006461008655605838,0.014349416043842211,0.019935689080739394,0.0038010191346984357,-0.002732321619987488
cait_s24_224,4,32,32,low_score_extreme,0.038806884724181145,0.0034501977497711778,0.038806884724181145,0.025308843818493187,-0.0010291492799296975,0.009259559214115143
cait_s24_224,5,32,32,low_score_extreme,0.02601609015255235,-0.00515264694695361,0.02601609015255235,0.01774089314858429,0.011761645291699097,0.035797975957393646
cait_s24_224,6,32,32,score_deviation_extreme,0.021572924248175696,-0.009720770380226895,0.017036656179698184,0.021572924248175696,0.002163783967262134,-0.03555329889059067
cait_s24_224,7,32,32,low_score_extreme,0.018337006797082722,0.011853709758725017,0.018337006797082722,0.0037805758765898645,0.019440728647168726,0.05626806616783142
cait_s24_224,8,32,32,score_deviation_extreme,0.021798037603730336,-0.0015343923296313733,0.017668474552920088,0.021798037603730336,0.0019386706117074937,-0.021659381687641144
cait_s24_224,9,32,32,score_deviation_extreme,0.02139285032171756,0.00046092981938272715,0.012395322788506746,0.02139285032171756,0.002343857893720269,-0.04184050112962723
cait_s24_224,10,32,32,low_score_extreme,0.0047837568272370845,0.002184329350711778,0.0047837568272370845,0.002120495802955702,0.03299397861701436,0.05828873813152313
cait_s24_224,11,32,32,high_score_extreme,0.0063607449701521546,0.0063607449701521546,0.004991129651898518,0.0013574253825936466,0.0012664072855841368,0.0751698687672615
cait_s24_224,12,32,32,low_score_extreme,0.011044799437513575,0.004347166774095967,0.011044799437513575,0.0010698433325160295,0.026732936006737873,0.03754065930843353
cait_s24_224,13,32,32,low_score_extreme,0.022464164765551686,-0.008099626109469682,0.022464164765551686,0.019849557720590383,0.015313570678699762,0.047298431396484375
cait_s24_224,14,32,32,high_score_extreme,0.016111312608700246,0.016111312608700246,0.016096281702630222,0.0051234078709967434,-0.008484160352963954,0.005793333053588867
cait_s24_224,15,32,32,low_score_extreme,0.020942777424352244,0.0006925662455614656,0.020942777424352244,0.020627710939152166,0.016834958019899204,0.031033970415592194
cait_s24_224,16,32,32,low_score_extreme,0.019465399265754968,-0.00326020346255973,0.019465399265754968,0.014803574595134705,0.01831233617849648,0.04363071173429489
cait_s24_224,17,32,32,low_score_extreme,0.025736691837664694,0.011534054181538522,0.025736691837664694,0.0030940937576815486,0.012041043606586754,0.0323634073138237
cait_s24_224,18,32,32,low_score_extreme,0.026661075418815017,0.011234849051106721,0.026661075418815017,-0.0031334529048763216,0.011116660025436431,0.004712782800197601
cait_s24_224,19,32,32,score_deviation_extreme,0.01974195661023259,-0.004382383427582681,0.018381631118245423,0.01974195661023259,0.003994751605205238,-0.03606738895177841
cait_s24_224,20,32,32,low_score_extreme,0.03117238637059927,-0.004890265932772309,0.03117238637059927,0.022952639672439545,0.006605349073652178,-0.03263195604085922
cait_s24_224,21,32,32,low_score_extreme,0.02192791228299029,0.007839740050258115,0.02192791228299029,0.006355249817715958,0.015849823161261156,0.006011471152305603
cait_s24_224,22,32,32,low_score_extreme,0.006825473392382264,0.005677662207745016,0.006825473392382264,0.005517635145224631,0.030952262051869184,0.05927202105522156
cait_s24_224,23,32,32,low_score_extreme,0.008412334049353376,0.00793029271881096,0.008412334049353376,0.007157604297390208,0.029365401394898072,0.050656288862228394
cait_s24_224,24,32,32,low_score_extreme,0.018799376499373466,0.014305035525467247,0.018799376499373466,-0.00016981043154373765,0.018978358944877982,0.0706435889005661
cait_s24_224,25,32,32,low_score_extreme,0.015218615590129048,0.011567798152100295,0.015218615590129048,0.0023105262662284076,0.0225591198541224,0.05713082104921341
cait_s24_224,26,32,32,score_deviation_extreme,0.025890193035593256,-0.0005562481528613716,0.017474107298767194,0.025890193035593256,-0.002153484820155427,-0.027942247688770294
cait_s24_224,27,32,32,high_score_extreme,0.011659370822599158,0.011659370822599158,0.007707784738158807,0.001935892243636772,-0.004032218566862866,0.019293054938316345
cait_s24_224,28,32,32,high_score_extreme,0.009285790292778984,0.009285790292778984,-0.0029822470678482205,0.004397469252580777,-0.0016586380370426923,0.007046893239021301
cait_s24_224,29,32,32,low_score_extreme,0.022408396034734324,0.002815536776324734,0.022408396034734324,0.0004523064417298883,0.015369339409517124,0.02543158084154129
cait_s24_224,30,32,32,low_score_extreme,0.011668100487440825,0.010098290862515569,0.011668100487440825,0.008229598635807633,0.026109634956810623,0.030795909464359283
cait_s24_224,31,32,32,score_deviation_extreme,0.019032024720218033,0.0023776692687533796,0.01648640923667699,0.019032024720218033,0.004704683495219797,-0.029008343815803528
