model,split,calibration_size,evaluation_size,selected_strategy,calibration_loss_delta,calibration_loss_delta_high,calibration_loss_delta_low,calibration_loss_delta_deviation,evaluation_loss_delta_vs_random,evaluation_logit_delta_vs_random
vit_base_patch16_224,0,32,32,high_score_extreme,0.01530498219653964,0.01530498219653964,-0.013681828044354916,-0.01571866008453071,0.012055057857651263,0.012193504720926285
vit_base_patch16_224,1,32,32,high_score_extreme,0.022889061889145523,0.022889061889145523,-0.0027521795709617436,-0.0009297768701799214,0.004470978165045381,-0.006663307547569275
vit_base_patch16_224,2,32,32,high_score_extreme,0.013094096910208464,0.013094096910208464,-0.011643363977782428,-0.012897892971523106,0.01426594314398244,0.026168089359998703
vit_base_patch16_224,3,32,32,high_score_extreme,0.019331451680045575,0.019331451680045575,-0.002881548658479005,-0.0046575593878515065,0.008028588374145329,0.01982824131846428
vit_base_patch16_224,4,32,32,high_score_extreme,0.018097366206347942,0.018097366206347942,0.0026164351729676127,-0.001274256152100861,0.009262673847842962,0.02725711092352867
vit_base_patch16_224,5,32,32,high_score_extreme,0.026071988278999925,0.026071988278999925,0.001879813033156097,0.00039730046410113573,0.0012880517751909792,0.018300935626029968
vit_base_patch16_224,6,32,32,high_score_extreme,0.014413025230169296,0.014413025230169296,-0.0005284067010506988,-0.0036934708477929235,0.012947014824021608,0.06391707062721252
vit_base_patch16_224,7,32,32,high_score_extreme,0.019245724542997777,0.019245724542997777,-0.003923693322576582,-0.004000622662715614,0.008114315511193126,0.015104696154594421
vit_base_patch16_224,8,32,32,high_score_extreme,0.013881097780540586,0.013881097780540586,-0.005029409658163786,-0.008008139207959175,0.013478942273650318,0.07004019618034363
vit_base_patch16_224,9,32,32,high_score_extreme,0.00133231416111812,0.00133231416111812,-0.009834383556153625,-0.013904476480092853,0.026027725893072784,0.11206712201237679
vit_base_patch16_224,10,32,32,high_score_extreme,0.007869786873925477,0.007869786873925477,-0.004315224883612245,-0.006894599588122219,0.019490253180265427,0.06368398293852806
vit_base_patch16_224,11,32,32,high_score_extreme,0.016052788123488426,0.016052788123488426,-0.009221427724696696,-0.010138508980162442,0.011307251930702478,0.013394217938184738
vit_base_patch16_224,12,32,32,high_score_extreme,0.014893924875650555,0.014893924875650555,0.008928080031182617,0.0048259489121846855,0.012466115178540349,0.029904793947935104
vit_base_patch16_224,13,32,32,high_score_extreme,0.021173225017264485,0.021173225017264485,-0.008757240721024573,-0.008929220610298216,0.0061868150369264185,-0.01883063092827797
vit_base_patch16_224,14,32,32,high_score_extreme,0.017863047658465803,0.017863047658465803,0.003624193836003542,1.5430152416229248e-05,0.009496992395725101,0.04017973691225052
vit_base_patch16_224,15,32,32,high_score_extreme,0.010028406395576894,0.010028406395576894,-0.002357969875447452,-0.004122573533095419,0.01733163365861401,0.05766633525490761
vit_base_patch16_224,16,32,32,high_score_extreme,0.013198228960391134,0.013198228960391134,-0.011962394637521356,-0.013464335526805371,0.01416181109379977,0.04568914324045181
vit_base_patch16_224,17,32,32,low_score_extreme,0.0063415602198801935,0.0013179913512431085,0.0063415602198801935,0.0020515031064860523,-0.01533199311234057,-0.04111843183636665
vit_base_patch16_224,18,32,32,high_score_extreme,0.005053314787801355,0.005053314787801355,-0.0038007062976248562,-0.004039260384161025,0.02230672526638955,0.0727517120540142
vit_base_patch16_224,19,32,32,high_score_extreme,0.0002434771740809083,0.0002434771740809083,-0.0072205179603770375,-0.011842820444144309,0.027116562880109996,0.08697357028722763
vit_base_patch16_224,20,32,32,high_score_extreme,0.003029571089427918,0.003029571089427918,-0.0016864631907083094,-0.004420940123964101,0.024330468964762986,0.10566934943199158
vit_base_patch16_224,21,32,32,high_score_extreme,0.01886028633452952,0.01886028633452952,-0.004427136154845357,-0.006941827014088631,0.008499753719661385,0.04006161913275719
vit_base_patch16_224,22,32,32,high_score_extreme,0.022418226988520473,0.022418226988520473,-0.0010233708308078349,-0.0015718336799181998,0.004941813065670431,0.016543596982955933
vit_base_patch16_224,23,32,32,high_score_extreme,0.022569398570340127,0.022569398570340127,0.0019716470851562917,-0.0008265257929451764,0.004790641483850777,0.019184842705726624
vit_base_patch16_224,24,32,32,high_score_extreme,0.00984988920390606,0.00984988920390606,-0.0019703584257513285,-0.0066313003189861774,0.017510150850284845,0.05995955318212509
vit_base_patch16_224,25,32,32,high_score_extreme,0.025334153906442225,0.025334153906442225,-0.008135546115227044,-0.005227940273471177,0.002025886147748679,0.015801694244146347
vit_base_patch16_224,26,32,32,high_score_extreme,0.012490921246353537,0.012490921246353537,-0.0008629743824712932,-0.0037940802867524326,0.014869118807837367,0.05455642193555832
vit_base_patch16_224,27,32,32,high_score_extreme,0.012172693095635623,0.012172693095635623,-0.008031625475268811,-0.009841466729994863,0.015187346958555281,0.0065598078072071075
vit_base_patch16_224,28,32,32,high_score_extreme,0.023633176693692803,0.023633176693692803,0.0034394391113892198,0.0006083698244765401,0.0037268633604981005,0.02404552698135376
vit_base_patch16_224,29,32,32,high_score_extreme,0.00746071245521307,0.00746071245521307,-0.005288545624352992,-0.009633018053136766,0.019899327598977834,0.022793617099523544
vit_base_patch16_224,30,32,32,high_score_extreme,0.00782521249493584,0.00782521249493584,-0.0020613977103494108,-0.004548507917206734,0.019534827559255064,0.07066009566187859
vit_base_patch16_224,31,32,32,high_score_extreme,0.01895802456419915,0.01895802456419915,0.00416746677365154,0.000683689839206636,0.008402015489991754,0.05490715056657791
