model,split,calibration_size,evaluation_size,selected_strategy,calibration_loss_delta,calibration_loss_delta_high,calibration_loss_delta_low,calibration_loss_delta_deviation,evaluation_loss_delta_vs_random,evaluation_logit_delta_vs_random
cait_s24_224,0,64,64,score_deviation_extreme,0.1007977684494108,0.03639139304868877,0.07266354060266167,0.1007977684494108,-0.0009231223521055654,-0.01312892884016037
cait_s24_224,1,64,64,score_deviation_extreme,0.08953753350942861,0.004918686099699698,0.06542056459875312,0.08953753350942861,0.010337112587876618,0.03677460923790932
cait_s24_224,2,64,64,score_deviation_extreme,0.018416871476802044,0.003254907947848551,0.013705146600841545,0.018416871476802044,0.08145777462050319,0.09846826270222664
cait_s24_224,3,64,64,low_score_extreme,0.018286233724211343,0.005240879152552225,0.018286233724211343,0.015486734118894674,0.06062618157011457,0.08462079614400864
cait_s24_224,4,64,64,high_score_extreme,0.03313685586908832,0.03313685586908832,0.010553689149674028,0.0043004610342904925,0.009190240802126937,0.05627680942416191
cait_s24_224,5,64,64,score_deviation_extreme,0.09150011306337547,0.013186537296860479,0.0634574753785273,0.09150011306337547,0.008374533033929765,0.007332198321819305
cait_s24_224,6,64,64,low_score_extreme,0.075840747114853,0.006617279970669188,0.075840747114853,0.07574450156243984,0.0030716681794729084,0.02478739246726036
cait_s24_224,7,64,64,score_deviation_extreme,0.0814798501378391,0.012956730293808505,0.06313448116998188,0.0814798501378391,0.018394795959466137,0.05698763206601143
cait_s24_224,8,64,64,low_score_extreme,0.026484176225494593,0.0226877547102049,0.026484176225494593,0.014544598525390029,0.05242823906883132,0.05410243198275566
cait_s24_224,9,64,64,score_deviation_extreme,0.013411841704510152,0.0016604418633505702,0.012984733446501195,0.013411841704510152,0.08646280439279508,0.09527160227298737
cait_s24_224,10,64,64,score_deviation_extreme,0.08519641832390334,0.0032779961329651996,0.08064728089084383,0.08519641832390334,0.014678227773401886,0.05527713894844055
cait_s24_224,11,64,64,score_deviation_extreme,0.02033058926463127,0.004564764036331326,0.011193356709554791,0.02033058926463127,0.07954405683267396,0.08791837096214294
cait_s24_224,12,64,64,low_score_extreme,0.021936539182206616,-0.0009534354030620307,0.021936539182206616,0.01164121853071265,0.056975876112119295,0.10615919157862663
cait_s24_224,13,64,64,high_score_extreme,0.0297691531595774,0.0297691531595774,0.018100436311215162,0.016880235576536506,0.012557943511637859,0.09235081076622009
cait_s24_224,14,64,64,high_score_extreme,0.013211783501901664,0.013211783501901664,0.0024115310661727563,0.010795160444104113,0.029115313169313595,0.06318143382668495
cait_s24_224,15,64,64,score_deviation_extreme,0.09371002473926637,0.003767690170207061,0.0686506098281825,0.09371002473926637,0.006164621358038858,0.024065114557743073
cait_s24_224,16,64,64,score_deviation_extreme,0.09006728052918334,0.024168878575437702,0.07624956344079692,0.09006728052918334,0.009807365568121895,0.033688805997371674
cait_s24_224,17,64,64,high_score_extreme,0.01413213876367081,0.01413213876367081,0.004254200335708447,0.012843125514336862,0.02819495790754445,0.08395737409591675
cait_s24_224,18,64,64,score_deviation_extreme,0.08140682015800849,0.015539709071163088,0.05789556895615533,0.08140682015800849,0.018467825939296745,0.04547621309757233
cait_s24_224,19,64,64,score_deviation_extreme,0.07774679661088157,0.028233045028173365,0.06997649175173137,0.07774679661088157,0.022127849486423656,0.049890853464603424
cait_s24_224,20,64,64,score_deviation_extreme,0.08876106947718654,0.02712221299589146,0.07266234671988059,0.08876106947718654,0.011113576620118693,0.044774409383535385
cait_s24_224,21,64,64,score_deviation_extreme,0.08651411478058435,0.005966656288364902,0.08053271230892278,0.08651411478058435,0.01336053131672088,0.010354548692703247
cait_s24_224,22,64,64,score_deviation_extreme,0.08319217356620356,0.015923326020129025,0.06230438832426444,0.08319217356620356,0.016682472531101666,0.0410466268658638
cait_s24_224,23,64,64,score_deviation_extreme,0.08810618212737609,0.002176454770960845,0.08528502845729236,0.08810618212737609,0.011768463969929144,0.004076261073350906
cait_s24_224,24,64,64,score_deviation_extreme,0.08294867396762129,0.012945321956067346,0.054754337048507296,0.08294867396762129,0.01692597212968394,0.015018854290246964
cait_s24_224,25,64,64,score_deviation_extreme,0.08744793957157526,0.024829341869917698,0.07254775062028784,0.08744793957157526,0.01242670652572997,0.026855845004320145
cait_s24_224,26,64,64,high_score_extreme,0.03713862525182776,0.03713862525182776,-0.0017996618698816746,0.014759255776880309,0.005188471419387497,0.08515146374702454
cait_s24_224,27,64,64,score_deviation_extreme,0.08403882550192066,0.01818397719762288,0.06027690277551301,0.08403882550192066,0.015835820595384575,0.030327115207910538
