model,split,calibration_size,evaluation_size,selected_strategy,calibration_loss_delta,calibration_loss_delta_high,calibration_loss_delta_low,calibration_loss_delta_deviation,evaluation_loss_delta_vs_random,evaluation_logit_delta_vs_random
pit_b_224,0,64,64,low_score_extreme,0.055390490364516154,-0.00400177386472933,0.055390490364516154,-0.01572781798313372,0.017327129316981882,0.10111718066036701
pit_b_224,1,64,64,low_score_extreme,0.05753044111770578,-0.005280471610603854,0.05753044111770578,-0.014760500722331926,0.015187178563792259,0.06743420474231243
pit_b_224,2,64,64,low_score_extreme,0.06612885487265885,-0.005308770923875272,0.06612885487265885,-0.002852568752132356,0.006588764808839187,0.08480958268046379
pit_b_224,3,64,64,low_score_extreme,0.05043371333158575,-0.004131627414608374,0.05043371333158575,-0.003016829286934808,0.022283906349912286,0.08429367281496525
pit_b_224,4,64,64,low_score_extreme,0.016963454778306186,0.004821812501177192,0.016963454778306186,0.0014466970460489392,0.05575416490319185,0.1274460405111313
pit_b_224,5,64,64,low_score_extreme,0.027509678358910605,-0.001017866568872705,0.027509678358910605,-0.006675895681837574,0.04520794132258743,0.10688537172973156
pit_b_224,6,64,64,high_score_extreme,0.005545709194848314,0.005545709194848314,0.0013983220851514488,-0.005634474189719185,-0.008137986937072128,-0.002658447250723839
pit_b_224,7,64,64,low_score_extreme,0.030223702953662723,-0.0022828070796094835,0.030223702953662723,-0.01077047613216564,0.04249391672783531,0.10150004178285599
pit_b_224,8,64,64,low_score_extreme,0.005004777078283951,-0.0042405058920849115,0.005004777078283951,-0.004941640450851992,0.06771284260321409,0.16918453015387058
pit_b_224,9,64,64,low_score_extreme,0.0384175133658573,-0.004704470280557871,0.0384175133658573,-0.002985129482112825,0.03430010631564073,0.12367700040340424
pit_b_224,10,64,64,low_score_extreme,0.047120760689722374,0.0055990345135796815,0.047120760689722374,-0.00773740021395497,0.02559685899177566,0.09096155688166618
pit_b_224,11,64,64,low_score_extreme,0.02657251470373012,-0.009646914870245382,0.02657251470373012,-0.008421395294135436,0.046145104977767915,0.15036076493561268
pit_b_224,12,64,64,low_score_extreme,0.04026270590838976,-0.004908944567432627,0.04026270590838976,-0.005464827845571563,0.032454913773108274,0.12576362490653992
pit_b_224,13,64,64,low_score_extreme,0.049317862547468394,-0.00352235249010846,0.049317862547468394,-0.006628596631344408,0.023399757134029642,0.09773854352533817
pit_b_224,14,64,64,low_score_extreme,0.057787059573456645,-0.012574599939398468,0.057787059573456645,-0.013072797795757651,0.01493056010804139,0.10042139142751694
pit_b_224,15,64,64,low_score_extreme,0.01939921625307761,-0.0004824034695047885,0.01939921625307761,-0.014235283510060981,0.053318403428420424,0.13429557718336582
pit_b_224,16,64,64,low_score_extreme,0.009857415599981323,0.007906315993750468,0.009857415599981323,-0.005903897661482915,0.06286020408151671,0.15514502301812172
pit_b_224,17,64,64,low_score_extreme,0.06385940875043161,-0.00769109113025479,0.06385940875043161,-0.011182371497852728,0.008858210931066424,0.07350603677332401
pit_b_224,18,64,64,low_score_extreme,0.024284372106194496,0.000653723138384521,0.024284372106194496,-0.011112651089206338,0.04843324757530354,0.11043342761695385
pit_b_224,19,64,64,low_score_extreme,0.04133880263543688,-0.0012852140062022954,0.04133880263543688,-0.010997766541549936,0.03137881704606116,0.09724042005836964
pit_b_224,20,64,64,high_score_extreme,0.009551062277751043,0.009551062277751043,0.004296461964258924,-0.0002367383276578039,-0.012143340019974858,-0.02288713864982128
pit_b_224,21,64,64,high_score_extreme,0.009354656474897638,0.009354656474897638,0.008133481402182952,0.0005010754393879324,-0.011946934217121452,-0.014692654833197594
pit_b_224,22,64,64,low_score_extreme,0.026686070137657225,0.00021918572019785643,0.026686070137657225,-0.008893470745533705,0.04603154954384081,0.1280675958842039
pit_b_224,23,64,64,low_score_extreme,0.034807269636075944,-0.0006724993581883609,0.034807269636075944,-0.00866274390136823,0.03791035004542209,0.12307563982903957
pit_b_224,24,64,64,low_score_extreme,0.05989477227558382,-0.0020075819629710168,0.05989477227558382,-0.012181679223431274,0.012822847405914217,0.06349002197384834
pit_b_224,25,64,64,low_score_extreme,0.04363116595777683,0.004903183988062665,0.04363116595777683,-0.005287781386869028,0.029086453723721206,0.09781043045222759
pit_b_224,26,64,64,low_score_extreme,0.0675199166580569,-0.011010055924998596,0.0675199166580569,-0.015267386712366715,0.005197703023441136,0.06880789808928967
pit_b_224,27,64,64,low_score_extreme,0.054293415538268164,-0.0031955957820173353,0.054293415538268164,-0.014127480768365785,0.018424204143229872,0.08515766635537148
pit_b_224,28,64,64,low_score_extreme,0.06126561839482747,-0.010569355596089736,0.06126561839482747,-0.011824721383163705,0.011452001286670566,0.07171856611967087
pit_b_224,29,64,64,low_score_extreme,0.03225615675910376,-0.00898270684410818,0.03225615675910376,-0.010542944452026859,0.040461462922394276,0.12832529842853546
pit_b_224,30,64,64,low_score_extreme,0.017107850697357208,0.0010234083165414631,0.017107850697357208,-0.009091093845199794,0.05560976898414083,0.13566316850483418
pit_b_224,31,64,64,low_score_extreme,0.0137666278751567,-0.0008260607719421387,0.0137666278751567,-0.015226136427372694,0.058950991806341335,0.14796837233006954
pit_b_224,32,64,64,low_score_extreme,0.0497612573672086,-0.004383695428259671,0.0497612573672086,-0.016859813360497355,0.022956362314289436,0.08479609526693821
pit_b_224,33,64,64,low_score_extreme,0.028474278398789465,-0.0005827596178278327,0.028474278398789465,-0.009872442460618913,0.04424334128270857,0.12665345519781113
pit_b_224,34,64,64,low_score_extreme,0.06469557929085568,0.0009494720143266022,0.06469557929085568,-0.011781282781157643,0.00802204039064236,0.06611744500696659
pit_b_224,35,64,64,low_score_extreme,0.06717054190812632,-0.006680667924229056,0.06717054190812632,-0.009489789546933025,0.005547077773371711,0.052630458027124405
pit_b_224,36,64,64,low_score_extreme,0.04807241845992394,-0.004463458753889427,0.04807241845992394,-0.004720812168670818,0.024645201221574098,0.08025786653161049
pit_b_224,37,64,64,low_score_extreme,0.015821523178601637,-0.003970087593188509,0.015821523178601637,-0.006874108774354681,0.0568960965028964,0.15288263000547886
pit_b_224,38,64,64,low_score_extreme,0.06081986037315801,-0.007678173540625721,0.06081986037315801,-0.012042381276842207,0.011897759308340028,0.07180902920663357
pit_b_224,39,64,64,low_score_extreme,0.01809155588853173,0.0031420365849044174,0.01809155588853173,-0.0028570493741426617,0.054626063792966306,0.11671132780611515
pit_b_224,40,64,64,low_score_extreme,0.04920958454022184,0.0020358391921035945,0.04920958454022184,-0.005568441993091255,0.023508035141276196,0.07399661093950272
pit_b_224,41,64,64,low_score_extreme,0.04991439974401146,0.009823472471907735,0.04991439974401146,-0.0029471556190401316,0.022803219937486574,0.09130805358290672
pit_b_224,42,64,64,low_score_extreme,0.059120450576301664,-0.00801951828179881,0.059120450576301664,-0.019089799199718982,0.013597169105196372,0.07117174565792084
pit_b_224,43,64,64,low_score_extreme,0.01955297790118493,-0.0009277522040065378,0.01955297790118493,-0.004393388953758404,0.053164641780313104,0.10890263319015503
pit_b_224,44,64,64,low_score_extreme,0.06328329481766559,-0.0030824988789390773,0.06328329481766559,-0.01616072966135107,0.009434324863832444,0.0694259274750948
pit_b_224,45,64,64,low_score_extreme,0.06481519603403285,-0.0014457081560976803,0.06481519603403285,-0.005528171139303595,0.007902423647465184,0.03157123178243637
pit_b_224,46,64,64,low_score_extreme,0.02687713346676901,0.0027105979970656335,0.02687713346676901,-0.009870693495031446,0.045840486214729026,0.09568955935537815
pit_b_224,47,64,64,low_score_extreme,0.006444501952501014,0.006176732975291088,0.006444501952501014,-0.007926374761154875,0.06627311772899702,0.16251186653971672
pit_b_224,48,64,64,low_score_extreme,0.05046471121022478,6.679497892037034e-05,0.05046471121022478,-0.014295789471361786,0.02225290847127326,0.10108167305588722
pit_b_224,49,64,64,low_score_extreme,0.05385291113634594,-0.006998357217526063,0.05385291113634594,-0.01532038112054579,0.018864708545152098,0.10145872458815575
pit_b_224,50,64,64,low_score_extreme,0.06341941532446072,0.0021400980767793953,0.06341941532446072,-0.005795485631097108,0.00929820435703732,0.05112810432910919
pit_b_224,51,64,64,low_score_extreme,0.0621283030777704,-0.007910865504527465,0.0621283030777704,-0.00675174526986666,0.010589316603727639,0.07815471105277538
pit_b_224,52,64,64,low_score_extreme,0.06089627879555337,-0.0018294898618478328,0.06089627879555337,-0.009857913275482133,0.011821340885944664,0.04190858639776707
pit_b_224,53,64,64,low_score_extreme,0.010547782439971343,0.0020344214572105557,0.010547782439971343,-0.0008401421073358506,0.06216983724152669,0.12816741317510605
pit_b_224,54,64,64,high_score_extreme,0.003822559170657769,0.003822559170657769,-0.0022870887478347868,-0.001881651085568592,-0.006414836912881583,-0.0005909539759159088
pit_b_224,55,64,64,low_score_extreme,0.015076133189722896,-0.004094055620953441,0.015076133189722896,-0.01773336809128523,0.05764148649177514,0.1405925750732422
pit_b_224,56,64,64,low_score_extreme,0.06287700613029301,-0.010985550237819552,0.06287700613029301,-0.012281866394914687,0.009840613551205024,0.07983091473579407
pit_b_224,57,64,64,low_score_extreme,0.024013294867472723,-0.00019614057964645326,0.024013294867472723,0.00027135785785503685,0.04870432481402531,0.09988071955740452
pit_b_224,58,64,64,low_score_extreme,0.018634882668266073,0.0009690947190392762,0.018634882668266073,-0.001994183607166633,0.05408273701323196,0.1247196439653635
pit_b_224,59,64,64,low_score_extreme,0.02627122719422914,-0.0036195913271512836,0.02627122719422914,-0.011712286010151729,0.046446392487268895,0.11550222709774971
pit_b_224,60,64,64,low_score_extreme,0.024717259482713416,-0.004463174816919491,0.024717259482713416,-0.009097989852307364,0.04800036019878462,0.12069312669336796
pit_b_224,61,64,64,high_score_extreme,0.010215784248430282,0.010215784248430282,0.004087091947440058,-0.0017749742255546153,-0.012808061990654096,-0.03570418991148472
pit_b_224,62,64,64,low_score_extreme,0.050627111428184435,0.00404404939035885,0.050627111428184435,0.0049025297339539975,0.0220905082533136,0.09716224297881126
pit_b_224,63,64,64,low_score_extreme,0.0452250977687072,0.005380767019232735,0.0452250977687072,-0.008950304851168767,0.027492521912790835,0.09452707320451736
