model,split,calibration_size,evaluation_size,selected_strategy,calibration_selection_metric,calibration_selected_delta,calibration_delta_high,calibration_delta_low,calibration_delta_deviation,evaluation_loss_delta_vs_random,evaluation_logit_delta_vs_random
visformer_small,0,64,64,high_score_extreme,logit,0.04285998269915581,0.04285998269915581,0.0011527352035045624,-0.01100078597664833,-0.012628764641704038,-0.024631984531879425
visformer_small,1,64,64,low_score_extreme,logit,0.024030089378356934,-0.02933138608932495,0.024030089378356934,0.010985083878040314,0.005788085923995823,0.03651075437664986
visformer_small,2,64,64,high_score_extreme,logit,0.024547340348362923,0.024547340348362923,0.009003715589642525,0.006756843999028206,-0.004553815117105842,-0.00631934218108654
visformer_small,3,64,64,low_score_extreme,logit,0.027988998219370842,0.02198735438287258,0.027988998219370842,0.024514077231287956,-0.007036718045128509,0.03255184553563595
visformer_small,4,64,64,low_score_extreme,logit,0.049575116485357285,0.002097759395837784,0.049575116485357285,0.02069627121090889,-0.008130251604598016,0.010965727269649506
visformer_small,5,64,64,low_score_extreme,logit,0.013066647574305534,-0.002144867554306984,0.013066647574305534,-0.00950884260237217,0.005040021671447903,0.047474196180701256
visformer_small,6,64,64,low_score_extreme,logit,0.05653997138142586,0.04158063605427742,0.05653997138142586,0.04687831923365593,-0.013133040483808145,0.004000872373580933
visformer_small,7,64,64,score_deviation_extreme,logit,0.03296004235744476,0.00667998194694519,0.01637105643749237,0.03296004235744476,-0.008471213921438903,0.01369420811533928
visformer_small,8,64,64,score_deviation_extreme,logit,0.04039568826556206,0.03211664780974388,0.03423215076327324,0.04039568826556206,-0.015083644451806322,0.006258562207221985
visformer_small,9,64,64,score_deviation_extreme,logit,0.02315177023410797,-0.0003769025206565857,0.016991026699543,0.02315177023410797,-0.0013242954737506807,0.02350248023867607
visformer_small,10,64,64,high_score_extreme,logit,0.05354096367955208,0.05354096367955208,0.045901793986558914,0.0412859208881855,-0.01955846045166254,-0.035312965512275696
visformer_small,11,64,64,high_score_extreme,logit,0.022820694372057915,0.022820694372057915,0.009858978912234306,0.016873082146048546,-0.004670479946071282,-0.004592696204781532
visformer_small,12,64,64,low_score_extreme,logit,0.04591074772179127,0.015339652076363564,0.04591074772179127,0.03518856503069401,-0.017058077646652237,0.014630096033215523
visformer_small,13,64,64,low_score_extreme,logit,0.04665789194405079,0.0027285683900117874,0.04665789194405079,0.019405120983719826,-0.013275630219141021,0.013882951810956001
visformer_small,14,64,64,score_deviation_extreme,logit,0.024900423362851143,-0.026406189426779747,0.008069353178143501,0.024900423362851143,-0.0006751939072273672,0.0217538271099329
visformer_small,15,64,64,low_score_extreme,logit,0.025907397270202637,-0.0040983036160469055,0.025907397270202637,0.011575073003768921,0.006839002599008381,0.03463344648480415
visformer_small,16,64,64,low_score_extreme,logit,0.04610902816057205,0.03587418794631958,0.04610902816057205,0.016668200492858887,-0.013173483341233805,0.014431815594434738
visformer_small,17,64,64,low_score_extreme,logit,0.035669175907969475,-0.008760327473282814,0.035669175907969475,0.011261587962508202,-0.0003317879163660109,0.024871667847037315
visformer_small,18,64,64,low_score_extreme,logit,0.034204745665192604,-0.035819126293063164,0.034204745665192604,0.015156799927353859,-0.003961812471970916,0.026336098089814186
visformer_small,19,64,64,low_score_extreme,logit,0.032074468210339546,-0.0056562479585409164,0.032074468210339546,0.022742407396435738,-0.007565326493931934,0.028466375544667244
visformer_small,20,64,64,low_score_extreme,logit,0.040904100984334946,-0.012503866106271744,0.040904100984334946,0.0036056973040103912,-0.008697190205566585,0.019636742770671844
visformer_small,21,64,64,low_score_extreme,logit,0.050320133566856384,0.03267031908035278,0.050320133566856384,0.033105961978435516,-0.015106109611224383,0.010220710188150406
visformer_small,22,64,64,low_score_extreme,logit,0.031693534925580025,0.003169843927025795,0.031693534925580025,0.026405038312077522,-4.057068144902587e-05,0.028847308829426765
visformer_small,23,64,64,high_score_extreme,logit,0.03751431778073311,0.03751431778073311,0.03069143369793892,0.0266018845140934,-0.0028488797834143043,-0.019286319613456726
visformer_small,24,64,64,high_score_extreme,logit,0.01186603493988514,0.01186603493988514,0.006819995120167732,0.00034842826426029205,0.001844487589551136,0.006361963227391243
visformer_small,25,64,64,low_score_extreme,logit,0.05447224713861942,-0.012107877060770988,0.05447224713861942,0.043265970423817635,-0.009335834067314863,0.006068596616387367
visformer_small,26,64,64,low_score_extreme,logit,0.023700455203652382,-0.0030570682138204575,0.023700455203652382,0.01100587286055088,0.010905473987804726,0.03684038855135441
visformer_small,27,64,64,low_score_extreme,logit,0.021236926317214966,-0.0012252628803253174,0.021236926317214966,0.019727632403373718,0.008216663409257308,0.039303917437791824
visformer_small,28,64,64,score_deviation_extreme,logit,0.03468525409698486,0.0036146342754364014,0.0344611331820488,0.03468525409698486,-0.0066839977516792715,0.011968996375799179
visformer_small,29,64,64,low_score_extreme,logit,0.03888762928545475,0.0021197814494371414,0.03888762928545475,0.027613947167992592,-0.004330879484768957,0.02165321446955204
visformer_small,30,64,64,high_score_extreme,logit,-0.0021667014807462692,-0.0021667014807462692,-0.005651680752635002,-0.011597124859690666,0.012299887515837327,0.02039469964802265
visformer_small,31,64,64,high_score_extreme,logit,0.013001445680856705,0.013001445680856705,0.009347688406705856,0.01148294284939766,0.0013174815976526588,0.005226552486419678
visformer_small,32,64,64,low_score_extreme,logit,-0.014099214226007462,-0.036990705877542496,-0.014099214226007462,-0.02552906796336174,0.019172439555404708,0.07464005798101425
visformer_small,33,64,64,high_score_extreme,logit,0.032199569046497345,0.032199569046497345,0.0254509374499321,0.027851440012454987,-0.0027063432498835027,-0.013971570879220963
visformer_small,34,64,64,low_score_extreme,logit,0.046764956787228584,0.0012208241969347,0.046764956787228584,0.033413322642445564,0.0027340179367456585,0.013775886967778206
visformer_small,35,64,64,score_deviation_extreme,logit,0.021822446957230568,0.019887486472725868,0.005771176889538765,0.021822446957230568,0.007228747068438679,0.024831803515553474
visformer_small,36,64,64,low_score_extreme,logit,0.029702307656407356,0.0008465219289064407,0.029702307656407356,0.022393109276890755,-0.0032848340924829245,0.030838536098599434
