model,image_name,condition,mix_gain,mlp_gain,total_gain
vit_base_patch16_224,ILSVRC2012_val_00031361.JPEG,promotion,0.27730369567871094,0.12457583844661713,0.40187954902648926
vit_base_patch16_224,ILSVRC2012_val_00031410.JPEG,promotion,0.434965044260025,0.036347925662994385,0.4713129699230194
vit_base_patch16_224,ILSVRC2012_val_00031361.JPEG,stable_high,0.2695048749446869,0.07781494408845901,0.3473198413848877
vit_base_patch16_224,ILSVRC2012_val_00031410.JPEG,stable_high,0.4872789978981018,0.021815786138176918,0.509094774723053
vit_base_patch16_224,ILSVRC2012_val_00031361.JPEG,stable_low,0.3311515152454376,0.04787950962781906,0.3790310323238373
vit_base_patch16_224,ILSVRC2012_val_00031410.JPEG,stable_low,0.40761521458625793,-0.02220192179083824,0.3854133188724518
vit_base_patch16_224,ILSVRC2012_val_00031361.JPEG,random,0.2715933620929718,0.08990757912397385,0.36150094866752625
vit_base_patch16_224,ILSVRC2012_val_00031410.JPEG,random,0.4264272153377533,-0.00039594940608367324,0.4260312616825104
vit_base_patch16_224,ILSVRC2012_val_00031472.JPEG,promotion,0.4239905774593353,0.018742475658655167,0.4427330791950226
vit_base_patch16_224,ILSVRC2012_val_00031495.JPEG,promotion,0.2648799419403076,0.02641090378165245,0.29129084944725037
vit_base_patch16_224,ILSVRC2012_val_00031472.JPEG,stable_high,0.4184804856777191,-0.0024663805961608887,0.416014164686203
vit_base_patch16_224,ILSVRC2012_val_00031495.JPEG,stable_high,0.26632946729660034,0.027050528675317764,0.2933799922466278
vit_base_patch16_224,ILSVRC2012_val_00031472.JPEG,stable_low,0.46712931990623474,-0.057608168572187424,0.4095211625099182
vit_base_patch16_224,ILSVRC2012_val_00031495.JPEG,stable_low,0.27351027727127075,0.008789206854999065,0.2822994887828827
vit_base_patch16_224,ILSVRC2012_val_00031472.JPEG,random,0.43401357531547546,-0.033001482486724854,0.4010120928287506
vit_base_patch16_224,ILSVRC2012_val_00031495.JPEG,random,0.258005827665329,0.025678643956780434,0.28368446230888367
vit_base_patch16_224,ILSVRC2012_val_00031548.JPEG,promotion,0.3639797866344452,0.06133141741156578,0.42531123757362366
vit_base_patch16_224,ILSVRC2012_val_00031586.JPEG,promotion,0.38861337304115295,0.029473934322595596,0.41808730363845825
vit_base_patch16_224,ILSVRC2012_val_00031548.JPEG,stable_high,0.38255801796913147,0.025743799284100533,0.40830183029174805
vit_base_patch16_224,ILSVRC2012_val_00031586.JPEG,stable_high,0.4062480628490448,0.03398195281624794,0.44022998213768005
vit_base_patch16_224,ILSVRC2012_val_00031548.JPEG,stable_low,0.4491075873374939,-0.0576469711959362,0.3914605975151062
vit_base_patch16_224,ILSVRC2012_val_00031586.JPEG,stable_low,0.3389626443386078,-0.004929985385388136,0.33403268456459045
vit_base_patch16_224,ILSVRC2012_val_00031548.JPEG,random,0.41121745109558105,-0.0323890782892704,0.37882834672927856
vit_base_patch16_224,ILSVRC2012_val_00031586.JPEG,random,0.4082607626914978,0.004411305766552687,0.41267210245132446
vit_base_patch16_224,ILSVRC2012_val_00031588.JPEG,promotion,0.4172058701515198,0.03002353198826313,0.44722938537597656
vit_base_patch16_224,ILSVRC2012_val_00031593.JPEG,promotion,0.39262932538986206,0.024079425260424614,0.41670873761177063
vit_base_patch16_224,ILSVRC2012_val_00031588.JPEG,stable_high,0.488077312707901,-0.0029682430904358625,0.4851090610027313
vit_base_patch16_224,ILSVRC2012_val_00031593.JPEG,stable_high,0.38613152503967285,0.006224402226507664,0.39235594868659973
vit_base_patch16_224,ILSVRC2012_val_00031588.JPEG,stable_low,0.41801324486732483,0.008070851676166058,0.42608407139778137
vit_base_patch16_224,ILSVRC2012_val_00031593.JPEG,stable_low,0.3902428150177002,-0.04598047211766243,0.34426236152648926
vit_base_patch16_224,ILSVRC2012_val_00031588.JPEG,random,0.44239577651023865,0.016344835981726646,0.45874056220054626
vit_base_patch16_224,ILSVRC2012_val_00031593.JPEG,random,0.433168888092041,-0.0300490353256464,0.403119832277298
vit_base_patch16_224,ILSVRC2012_val_00031629.JPEG,promotion,0.468263179063797,-0.0064443605951964855,0.4618188440799713
vit_base_patch16_224,ILSVRC2012_val_00031647.JPEG,promotion,0.2856467664241791,0.047862377017736435,0.3335091471672058
vit_base_patch16_224,ILSVRC2012_val_00031629.JPEG,stable_high,0.4288017451763153,0.007246349472552538,0.43604809045791626
vit_base_patch16_224,ILSVRC2012_val_00031647.JPEG,stable_high,0.3387361466884613,0.024243934080004692,0.36298009753227234
vit_base_patch16_224,ILSVRC2012_val_00031629.JPEG,stable_low,0.44809818267822266,-0.0007801098399795592,0.44731810688972473
vit_base_patch16_224,ILSVRC2012_val_00031647.JPEG,stable_low,0.3968220353126526,-0.05050743371248245,0.3463146388530731
vit_base_patch16_224,ILSVRC2012_val_00031629.JPEG,random,0.4388495981693268,-0.009663590230047703,0.4291859567165375
vit_base_patch16_224,ILSVRC2012_val_00031647.JPEG,random,0.38015133142471313,-0.0264076329767704,0.35374370217323303
vit_base_patch16_224,ILSVRC2012_val_00031670.JPEG,promotion,0.36770692467689514,0.02625810168683529,0.3939650058746338
vit_base_patch16_224,ILSVRC2012_val_00031686.JPEG,promotion,0.36758947372436523,0.04822868853807449,0.41581815481185913
vit_base_patch16_224,ILSVRC2012_val_00031670.JPEG,stable_high,0.3317168653011322,0.03353476524353027,0.36525169014930725
vit_base_patch16_224,ILSVRC2012_val_00031686.JPEG,stable_high,0.3441965878009796,0.020994586870074272,0.36519119143486023
vit_base_patch16_224,ILSVRC2012_val_00031670.JPEG,stable_low,0.40294334292411804,-0.03145276755094528,0.37149056792259216
vit_base_patch16_224,ILSVRC2012_val_00031686.JPEG,stable_low,0.3660602569580078,-0.013552963733673096,0.3525073230266571
