source_model,sample_index,image_name,layer,condition,global_polarity,global_mode,grid_h,grid_w,drop_count,drop_ratio,global_cosine_clean_masked,kept_token_cosine_clean_masked,score_map_spearman_clean_masked,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9930272698402405,0.8803050518035889,0.8439257740974426,0.018432140350341797,0.23453250527381897,0.4857245683670044,19.918004989624023
cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.976882815361023,0.887103796005249,0.7996302843093872,0.017208851873874664,0.20859365165233612,0.4801711440086365,19.922222137451172
cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9870144724845886,0.9194896817207336,0.679431676864624,0.04315531253814697,0.21703200042247772,0.4702450633049011,19.29390525817871
cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9771333932876587,0.921042263507843,0.6874228119850159,0.10462415218353271,0.2730664908885956,0.500286340713501,19.52737808227539
cait_s24_224,4,ILSVRC2012_val_00024637.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9850726127624512,0.9164756536483765,0.7875877618789673,0.2700573205947876,0.44119545817375183,0.518301248550415,16.038043975830078
cait_s24_224,5,ILSVRC2012_val_00024710.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9860731959342957,0.9227574467658997,0.5803823471069336,-0.01653517782688141,0.20899419486522675,0.4726177155971527,19.966583251953125
cait_s24_224,6,ILSVRC2012_val_00024753.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9654115438461304,0.8017662167549133,0.7630820274353027,0.016459401696920395,0.2072135955095291,0.4756816029548645,19.868921279907227
cait_s24_224,7,ILSVRC2012_val_00024781.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9911783933639526,0.9271900653839111,0.8146132230758667,-0.00945102609694004,0.27564725279808044,0.4859972894191742,19.5875244140625
cait_s24_224,8,ILSVRC2012_val_00024926.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9908906817436218,0.9057812094688416,0.8124058842658997,0.012617837637662888,0.2695668935775757,0.485253244638443,19.73688316345215
cait_s24_224,9,ILSVRC2012_val_00025075.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9940525889396667,0.9056376218795776,0.6518913507461548,0.0016251601045951247,0.23590277135372162,0.4796513020992279,19.960071563720703
