source_model,sample_index,image_name,layer,condition,global_polarity,global_mode,grid_h,grid_w,drop_count,drop_ratio,global_cosine_clean_masked,kept_token_cosine_clean_masked,score_map_spearman_clean_masked,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
pit_b_224,0,ILSVRC2012_val_00024479.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9850876927375793,0.9137226939201355,0.8125457167625427,0.015143569558858871,0.27457720041275024,0.4938991367816925,19.732101440429688
pit_b_224,1,ILSVRC2012_val_00024540.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9653466939926147,0.8526480793952942,0.6885988712310791,0.02158801257610321,0.28676682710647583,0.491249144077301,19.568336486816406
pit_b_224,2,ILSVRC2012_val_00024550.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9833084940910339,0.8824496865272522,0.8023351430892944,0.09087105095386505,0.324064165353775,0.5003666877746582,19.22258949279785
pit_b_224,3,ILSVRC2012_val_00024609.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9952107071876526,0.9159716963768005,0.4952838122844696,0.3899093270301819,0.49600765109062195,0.5541065335273743,15.37138557434082
pit_b_224,4,ILSVRC2012_val_00024637.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9729535579681396,0.8486010432243347,0.49784794449806213,0.2367834597826004,0.42776384949684143,0.5276088118553162,16.66912269592285
pit_b_224,5,ILSVRC2012_val_00024710.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9948680996894836,0.9284406304359436,0.5807234048843384,0.0522056445479393,0.27584075927734375,0.49114084243774414,19.741424560546875
pit_b_224,6,ILSVRC2012_val_00024753.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.985489010810852,0.8189694881439209,0.6462453603744507,0.030039070174098015,0.3357144296169281,0.513690173625946,19.018817901611328
pit_b_224,7,ILSVRC2012_val_00024781.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9860812425613403,0.8905474543571472,0.7276556491851807,0.16930615901947021,0.32682356238365173,0.5031476020812988,19.21180534362793
pit_b_224,8,ILSVRC2012_val_00024926.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9850306510925293,0.883610188961029,0.8559523224830627,0.038562044501304626,0.3061025142669678,0.5069053769111633,19.50958251953125
pit_b_224,9,ILSVRC2012_val_00025075.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.991892397403717,0.8857681155204773,0.8414376974105835,0.023190075531601906,0.27800580859184265,0.498205304145813,19.747270584106445
pit_b_224,10,ILSVRC2012_val_00025315.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9719960689544678,0.8432830572128296,0.6880494356155396,0.03684079647064209,0.3312412202358246,0.49999767541885376,19.176128387451172
pit_b_224,11,ILSVRC2012_val_00025390.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9924157857894897,0.9085111021995544,0.805677592754364,0.012309463694691658,0.19976718723773956,0.46492812037467957,18.796859741210938
pit_b_224,12,ILSVRC2012_val_00025402.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9927760362625122,0.87204909324646,0.6532508730888367,0.01751849427819252,0.28191447257995605,0.5107156038284302,19.747440338134766
pit_b_224,13,ILSVRC2012_val_00025408.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9926930665969849,0.9255725741386414,0.783653736114502,0.003671579295769334,0.27499231696128845,0.4853103756904602,19.733871459960938
pit_b_224,14,ILSVRC2012_val_00025416.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9866543412208557,0.8867508172988892,0.7965201139450073,0.040928952395915985,0.2905147969722748,0.4957665801048279,19.5256290435791
