source_model,sample_index,image_name,layer,condition,global_polarity,global_mode,grid_h,grid_w,drop_count,drop_ratio,global_cosine_clean_masked,kept_token_cosine_clean_masked,score_map_spearman_clean_masked,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
vit_base_patch16_224,0,ILSVRC2012_val_00024479.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9957577586174011,0.9430838227272034,0.7173871397972107,-0.0014217144344002008,0.10248587280511856,0.45093902945518494,19.933563232421875
vit_base_patch16_224,1,ILSVRC2012_val_00024540.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9873016476631165,0.8869925141334534,0.7842615842819214,0.0035996572114527225,0.17361468076705933,0.4613560140132904,19.905851364135742
vit_base_patch16_224,2,ILSVRC2012_val_00024550.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9928014278411865,0.9392194151878357,0.841334342956543,-0.004824563395231962,0.21428830921649933,0.47160494327545166,19.72833824157715
vit_base_patch16_224,3,ILSVRC2012_val_00024609.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9745903015136719,0.923907458782196,0.4634461998939514,0.02948378399014473,0.16318689286708832,0.4928923547267914,19.608116149902344
vit_base_patch16_224,4,ILSVRC2012_val_00024637.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9864138960838318,0.928347110748291,0.8744543790817261,0.022934313863515854,0.18498288094997406,0.4697916805744171,19.603778839111328
vit_base_patch16_224,5,ILSVRC2012_val_00024710.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9987404346466064,0.9454796314239502,0.3833961486816406,0.029149770736694336,0.20067071914672852,0.4714714288711548,19.955095291137695
vit_base_patch16_224,6,ILSVRC2012_val_00024753.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9888460040092468,0.907135009765625,0.4786316156387329,0.0052391542121768,0.18287736177444458,0.46966710686683655,19.897428512573242
vit_base_patch16_224,7,ILSVRC2012_val_00024781.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9981629252433777,0.9628536105155945,0.4713464677333832,0.013923542574048042,0.22078834474086761,0.473745733499527,19.680139541625977
vit_base_patch16_224,8,ILSVRC2012_val_00024926.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9967024922370911,0.9655924439430237,0.6692299842834473,0.007305745966732502,0.1611088216304779,0.4600977897644043,19.88967514038086
vit_base_patch16_224,9,ILSVRC2012_val_00025075.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9990937113761902,0.9592792987823486,0.5009443759918213,-0.0047316583804786205,0.18971757590770721,0.4648221731185913,19.957075119018555
vit_base_patch16_224,10,ILSVRC2012_val_00025315.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9968640804290771,0.9396103620529175,0.6646144390106201,0.020036369562149048,0.17877362668514252,0.4637911319732666,19.908172607421875
vit_base_patch16_224,11,ILSVRC2012_val_00025390.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9849198460578918,0.9117605090141296,0.6519487500190735,-0.004183614626526833,0.2229921817779541,0.46822085976600647,19.693689346313477
vit_base_patch16_224,12,ILSVRC2012_val_00025402.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9981303215026855,0.9779210686683655,0.5982388854026794,0.013872078619897366,0.20240597426891327,0.47975659370422363,19.935745239257812
vit_base_patch16_224,13,ILSVRC2012_val_00025408.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.998688817024231,0.9551771879196167,0.6849620342254639,0.0024440204724669456,0.16683773696422577,0.4518631100654602,19.94575309753418
vit_base_patch16_224,14,ILSVRC2012_val_00025416.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9940356016159058,0.937601625919342,0.7844910621643066,0.010582261718809605,0.272519588470459,0.475961297750473,19.508317947387695
vit_base_patch16_224,15,ILSVRC2012_val_00025440.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9990533590316772,0.9832849502563477,0.6055526733398438,0.01886027120053768,0.2041379064321518,0.4778303802013397,19.90479278564453
vit_base_patch16_224,16,ILSVRC2012_val_00025446.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9593642354011536,0.9062610268592834,0.7377300262451172,0.014442157000303268,0.20121100544929504,0.4671967923641205,19.912263870239258
vit_base_patch16_224,17,ILSVRC2012_val_00025563.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9962642788887024,0.934562087059021,0.6830607056617737,-0.0010206385049968958,0.22777365148067474,0.4757712781429291,19.787118911743164
vit_base_patch16_224,18,ILSVRC2012_val_00025800.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9960378408432007,0.9427826404571533,0.5707846879959106,0.005939029157161713,0.26428472995758057,0.4738636612892151,19.51768684387207
vit_base_patch16_224,19,ILSVRC2012_val_00025844.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9967701435089111,0.9478228688240051,0.6359186768531799,0.018422335386276245,0.2148914337158203,0.46742433309555054,19.96135711669922
vit_base_patch16_224,20,ILSVRC2012_val_00025851.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9966543912887573,0.939630925655365,0.8760800361633301,-0.0019836125429719687,0.19206035137176514,0.4672947824001312,19.92606544494629
vit_base_patch16_224,21,ILSVRC2012_val_00025907.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9693875908851624,0.8914238214492798,0.7224075794219971,0.036804914474487305,0.23528848588466644,0.48519545793533325,19.664339065551758
vit_base_patch16_224,22,ILSVRC2012_val_00025989.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9860621094703674,0.892723560333252,0.8044912219047546,0.017256218940019608,0.2011672556400299,0.4712986946105957,19.828672409057617
vit_base_patch16_224,23,ILSVRC2012_val_00026068.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9991099834442139,0.961824893951416,0.4493843913078308,0.008985546417534351,0.18338999152183533,0.46533203125,19.958534240722656
vit_base_patch16_224,24,ILSVRC2012_val_00026088.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9967968463897705,0.9466720819473267,0.7788395881652832,-0.002152965171262622,0.18423926830291748,0.4676113426685333,19.930816650390625
vit_base_patch16_224,25,ILSVRC2012_val_00026113.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9915531873703003,0.9305798411369324,0.47980302572250366,0.004037979058921337,0.14545424282550812,0.47951942682266235,19.796998977661133
vit_base_patch16_224,26,ILSVRC2012_val_00026139.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9907665252685547,0.9162160754203796,0.4962187707424164,0.010714443400502205,0.1762632131576538,0.461181640625,19.944026947021484
vit_base_patch16_224,27,ILSVRC2012_val_00026145.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9919116497039795,0.9301849007606506,0.6737722158432007,0.017695795744657516,0.2638101279735565,0.4809580147266388,19.696990966796875
vit_base_patch16_224,28,ILSVRC2012_val_00026189.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9877493977546692,0.9489262104034424,0.42967110872268677,-0.0060407184064388275,0.20875726640224457,0.4750478267669678,19.877155303955078
vit_base_patch16_224,29,ILSVRC2012_val_00026202.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9884372353553772,0.8827449679374695,0.6669301986694336,0.010878653265535831,0.24541334807872772,0.4863726496696472,19.788217544555664
vit_base_patch16_224,30,ILSVRC2012_val_00026226.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.993956983089447,0.9247036576271057,0.5361490249633789,0.017626244574785233,0.2369459718465805,0.47009724378585815,19.47019386291504
vit_base_patch16_224,31,ILSVRC2012_val_00026280.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9922282099723816,0.9400439262390137,0.6094191670417786,0.03073754534125328,0.25838738679885864,0.475961297750473,19.740093231201172
vit_base_patch16_224,32,ILSVRC2012_val_00026315.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9986441135406494,0.952832043170929,0.699999213218689,0.0321955643594265,0.284556120634079,0.47775694727897644,19.47842788696289
vit_base_patch16_224,33,ILSVRC2012_val_00026328.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9931088089942932,0.9497119784355164,0.7716596126556396,-0.0031767613254487514,0.11511387676000595,0.4667251408100128,19.910924911499023
vit_base_patch16_224,34,ILSVRC2012_val_00026332.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9830389022827148,0.9142670035362244,0.710167407989502,0.01221143826842308,0.21513211727142334,0.4643687605857849,19.93781280517578
vit_base_patch16_224,35,ILSVRC2012_val_00026390.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9945853352546692,0.9393917918205261,0.7574831247329712,0.0035811648704111576,0.1586596965789795,0.46212831139564514,19.844236373901367
vit_base_patch16_224,36,ILSVRC2012_val_00026397.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9946054816246033,0.9349448084831238,0.5866267681121826,0.006620101630687714,0.08554571121931076,0.4451148509979248,19.9008731842041
vit_base_patch16_224,37,ILSVRC2012_val_00026436.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9940863847732544,0.9428660869598389,0.7088350653648376,0.002511592349037528,0.1720915287733078,0.4611510932445526,19.9298152923584
vit_base_patch16_224,38,ILSVRC2012_val_00026490.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9935708045959473,0.95098876953125,0.5140466690063477,0.018556080758571625,0.24436931312084198,0.46658197045326233,19.812246322631836
vit_base_patch16_224,39,ILSVRC2012_val_00026510.JPEG,block12,selected,high,cls,14,14,29,0.14795918762683868,0.9906312823295593,0.9124075770378113,0.3372199833393097,0.04508652165532112,0.22320714592933655,0.47686609625816345,19.62263298034668
