source_model,sample_index,image_name,layer,condition,global_polarity,global_mode,grid_h,grid_w,drop_count,drop_ratio,global_cosine_clean_masked,kept_token_cosine_clean_masked,score_map_spearman_clean_masked,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9908050298690796,0.8853803873062134,0.8689430952072144,-0.0025712870992720127,0.24778790771961212,0.5728753209114075,19.74915885925293
cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9757965207099915,0.8967675566673279,0.841114342212677,-0.001093574333935976,0.2288624793291092,0.5662097930908203,19.45075798034668
cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9841827154159546,0.878221333026886,0.5637147426605225,0.038903724402189255,0.28633755445480347,0.5749103426933289,17.771310806274414
cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9836916327476501,0.9149084091186523,0.6043143272399902,0.058179572224617004,0.3650071620941162,0.6092128157615662,17.88845443725586
cait_s24_224,4,ILSVRC2012_val_00024637.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9879594445228577,0.9038216471672058,0.7990692257881165,0.2718755602836609,0.46413323283195496,0.6142726540565491,15.368781089782715
cait_s24_224,5,ILSVRC2012_val_00024710.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9880374670028687,0.9068702459335327,0.6109874248504639,-0.00632911641150713,0.24206648766994476,0.5670576691627502,19.781627655029297
cait_s24_224,6,ILSVRC2012_val_00024753.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9727872014045715,0.7987391352653503,0.7549952268600464,0.008547479286789894,0.23760287463665009,0.5764790773391724,19.579849243164062
cait_s24_224,7,ILSVRC2012_val_00024781.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9911580085754395,0.9284532070159912,0.8203986287117004,0.005564918275922537,0.32180255651474,0.5788146257400513,18.990476608276367
cait_s24_224,8,ILSVRC2012_val_00024926.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9886907339096069,0.922180712223053,0.8437950611114502,0.025884443894028664,0.27964913845062256,0.5768377184867859,19.369356155395508
cait_s24_224,9,ILSVRC2012_val_00025075.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9870884418487549,0.8678775429725647,0.6029676198959351,0.002033607102930546,0.24726884067058563,0.5711377859115601,19.516115188598633
cait_s24_224,10,ILSVRC2012_val_00025315.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9874758124351501,0.9022182822227478,0.7242817878723145,0.004372771363705397,0.23312310874462128,0.5548180937767029,19.758464813232422
