source_model,sample_index,image_name,layer,condition,global_polarity,global_mode,grid_h,grid_w,drop_count,drop_ratio,global_cosine_clean_masked,kept_token_cosine_clean_masked,score_map_spearman_clean_masked,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
pit_b_224,0,ILSVRC2012_val_00024479.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9874898195266724,0.8639621138572693,0.596382737159729,0.019308656454086304,0.3747584819793701,0.6038804650306702,17.966875076293945
pit_b_224,1,ILSVRC2012_val_00024540.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9704590439796448,0.8821114301681519,0.7167124152183533,0.025935670360922813,0.33356255292892456,0.5957671999931335,18.52313995361328
pit_b_224,2,ILSVRC2012_val_00024550.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9822149276733398,0.911611795425415,0.8449175357818604,0.03223538026213646,0.3858754634857178,0.6184594631195068,17.755268096923828
pit_b_224,3,ILSVRC2012_val_00024609.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9894358515739441,0.9432172179222107,0.6332417726516724,0.3421226143836975,0.5430148243904114,0.6656289100646973,13.292360305786133
pit_b_224,4,ILSVRC2012_val_00024637.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9822202920913696,0.862862765789032,0.44006410241127014,0.19139468669891357,0.46770355105400085,0.6248051524162292,14.815506935119629
pit_b_224,5,ILSVRC2012_val_00024710.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9957226514816284,0.928554117679596,0.66318678855896,0.03875952586531639,0.3472277820110321,0.6018289923667908,18.527441024780273
pit_b_224,6,ILSVRC2012_val_00024753.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9798756241798401,0.788300633430481,0.6879578828811646,0.02301642671227455,0.42488986253738403,0.6281521916389465,16.597118377685547
pit_b_224,7,ILSVRC2012_val_00024781.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9855066537857056,0.8922927379608154,0.7542124390602112,0.1320597380399704,0.38977178931236267,0.6078687906265259,18.021041870117188
pit_b_224,8,ILSVRC2012_val_00024926.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9883114099502563,0.9036317467689514,0.7919414043426514,0.03705977648496628,0.3702732026576996,0.6170434355735779,18.441974639892578
pit_b_224,9,ILSVRC2012_val_00025075.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.993872344493866,0.8679421544075012,0.8182691931724548,0.015519766137003899,0.339580774307251,0.6072877049446106,18.766056060791016
pit_b_224,10,ILSVRC2012_val_00025315.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.98625248670578,0.8609528541564941,0.6953296661376953,0.026714550331234932,0.42220601439476013,0.6063976287841797,17.129318237304688
pit_b_224,11,ILSVRC2012_val_00025390.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9806312322616577,0.8618941307067871,0.7248625755310059,0.020528797060251236,0.3800989091396332,0.5998240113258362,17.766616821289062
pit_b_224,12,ILSVRC2012_val_00025402.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9938843846321106,0.8883975148200989,0.5782966613769531,0.028971444815397263,0.34219810366630554,0.6227694153785706,18.814987182617188
pit_b_224,13,ILSVRC2012_val_00025408.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9934723377227783,0.9366007447242737,0.7668039798736572,0.0014959900872781873,0.314628928899765,0.5843902230262756,19.20258331298828
pit_b_224,14,ILSVRC2012_val_00025416.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9871567487716675,0.8413115739822388,0.5779761075973511,0.03163713216781616,0.34422385692596436,0.596599817276001,18.630756378173828
pit_b_224,15,ILSVRC2012_val_00025440.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9958280920982361,0.9595820307731628,0.6691391468048096,0.07625891268253326,0.3909987509250641,0.6108642816543579,17.92764663696289
pit_b_224,16,ILSVRC2012_val_00025446.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9894706606864929,0.9159477353096008,0.7338827848434448,0.05565933138132095,0.40313148498535156,0.6353182196617126,16.86976432800293
pit_b_224,17,ILSVRC2012_val_00025563.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9768900871276855,0.8936892747879028,0.742994487285614,0.024472255259752274,0.39690589904785156,0.6228320002555847,17.475772857666016
pit_b_224,18,ILSVRC2012_val_00025800.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9891822338104248,0.9163955450057983,0.7380951642990112,0.033168595284223557,0.3643610179424286,0.6153706908226013,16.70870590209961
pit_b_224,19,ILSVRC2012_val_00025844.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9908261895179749,0.9102295637130737,0.6088370084762573,0.030904214829206467,0.3681159019470215,0.6096710562705994,18.082378387451172
pit_b_224,20,ILSVRC2012_val_00025851.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9920343160629272,0.9263412356376648,0.8121336698532104,0.059408824890851974,0.3765285015106201,0.6220049262046814,17.932655334472656
pit_b_224,21,ILSVRC2012_val_00025907.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9729081988334656,0.8874876499176025,0.6303113102912903,0.073536217212677,0.4213480055332184,0.6344757676124573,16.7686710357666
pit_b_224,22,ILSVRC2012_val_00025989.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.977188229560852,0.8876899480819702,0.7529304027557373,-0.06991807371377945,0.3499075770378113,0.5995087027549744,15.727907180786133
pit_b_224,23,ILSVRC2012_val_00026068.JPEG,stage3_block2,selected,high,cls,8,8,10,0.15625,0.9950988292694092,0.8962645530700684,0.8551281690597534,0.0011547654867172241,0.329740434885025,0.6026840806007385,19.014991760253906
