source_model,target_model,sample_index,image_name,layer,condition,target_clean_correct,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase,one_step_target_prediction_changed
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block6,selected,True,-0.0012488395441323519,-0.001043712254613638,0.42952805757522583,0.5023317933082581,-0.3099489212036133,-0.0310823917388916,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block6,selected,True,-0.0031113203149288893,-0.002255749423056841,0.4251900017261505,0.4943399131298065,0.0035219192504882812,0.000402793288230896,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block6,opposite,True,-0.002158047631382942,-0.002020238433033228,0.42677775025367737,0.4994552433490753,-0.23537349700927734,-0.02515050768852234,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block6,opposite,True,-0.0008712979033589363,-0.0009193251607939601,0.4263525605201721,0.5004583597183228,-0.10461711883544922,-0.005977906286716461,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block6,deviation,True,-0.0035892846062779427,-0.004513496067374945,0.4264987111091614,0.49951502680778503,-0.24608421325683594,-0.021517924964427948,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block6,deviation,True,-0.00067282491363585,-0.0002856644568964839,0.42960113286972046,0.5022853016853333,0.17940521240234375,0.015325956046581268,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block6,random,True,-0.004759986884891987,-0.004825908690690994,0.4246385991573334,0.4973294138908386,-0.3664131164550781,-0.03571118414402008,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block6,random,True,0.0037036316934973,0.0021208778489381075,0.427548348903656,0.4994286894798279,0.18233871459960938,0.014156840741634369,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block6,no_drop,True,0.003927737474441528,0.005447204224765301,0.506855845451355,0.508397102355957,-0.04686546325683594,-0.004859842360019684,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block6,no_drop,True,0.007007996551692486,0.006457650102674961,0.5024247765541077,0.5025908946990967,0.0181884765625,0.002295292913913727,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block6,selected,True,-0.006082906387746334,-0.006927142851054668,0.4283389151096344,0.5018069744110107,0.041412353515625,0.0019110515713691711,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block6,selected,True,0.008236338384449482,0.008412311784923077,0.4385230541229248,0.5143760442733765,0.23095130920410156,0.03333589434623718,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block6,opposite,True,-0.005263269413262606,-0.00340407807379961,0.4277077913284302,0.5012688636779785,0.08572101593017578,0.007944680750370026,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block6,opposite,True,0.0011123779695481062,0.0013362534809857607,0.4376727342605591,0.5118981003761292,0.15096187591552734,0.028346359729766846,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block6,deviation,True,-0.008546781726181507,-0.009994853287935257,0.4284452199935913,0.5035275816917419,0.1006479263305664,0.009145230054855347,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block6,deviation,True,0.009048525243997574,0.009609971195459366,0.43713462352752686,0.5130805969238281,0.17429065704345703,0.03673273324966431,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block6,random,True,-0.00707640778273344,-0.006850532256066799,0.4290497303009033,0.5036205649375916,0.12532424926757812,0.007073394954204559,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block6,random,True,0.007228821516036987,0.008279998786747456,0.4438974857330322,0.5210990905761719,0.16193771362304688,0.035730332136154175,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block6,no_drop,True,-0.004275496117770672,-0.00236230599693954,0.502139151096344,0.5015478730201721,0.06930351257324219,0.004585467278957367,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block6,no_drop,True,0.014672518707811832,0.01564195193350315,0.5217301845550537,0.5237165093421936,0.2334756851196289,0.04013797640800476,False
vit_base_patch16_224,cait_s24_224,4,ILSVRC2012_val_00024637.JPEG,block6,selected,True,0.08477805554866791,0.08915889263153076,0.4443691670894623,0.5227266550064087,0.5346651077270508,0.37797802686691284,False
vit_base_patch16_224,cait_s24_224,5,ILSVRC2012_val_00024710.JPEG,block6,selected,True,0.005102550610899925,0.004818521440029144,0.42615991830825806,0.4956287145614624,-0.06891155242919922,-0.004555471241474152,False
vit_base_patch16_224,cait_s24_224,4,ILSVRC2012_val_00024637.JPEG,block6,opposite,True,0.05698757618665695,0.05689310282468796,0.4376262128353119,0.512715220451355,0.3885536193847656,0.25421708822250366,False
vit_base_patch16_224,cait_s24_224,5,ILSVRC2012_val_00024710.JPEG,block6,opposite,True,0.006421596277505159,0.0062947883270680904,0.4281728267669678,0.4999535083770752,-0.15091991424560547,-0.010141171514987946,False
vit_base_patch16_224,cait_s24_224,4,ILSVRC2012_val_00024637.JPEG,block6,deviation,True,0.08296530693769455,0.08732359111309052,0.44561144709587097,0.5206473469734192,0.7304849624633789,0.5202917456626892,False
vit_base_patch16_224,cait_s24_224,5,ILSVRC2012_val_00024710.JPEG,block6,deviation,True,0.0022965611424297094,0.0025244001299142838,0.4255620241165161,0.49655213952064514,-0.08917808532714844,-0.006098844110965729,False
vit_base_patch16_224,cait_s24_224,4,ILSVRC2012_val_00024637.JPEG,block6,random,True,0.07817741483449936,0.07854501903057098,0.44021710753440857,0.5170533061027527,0.5017776489257812,0.27517229318618774,False
vit_base_patch16_224,cait_s24_224,5,ILSVRC2012_val_00024710.JPEG,block6,random,True,0.006475800182670355,0.00641973689198494,0.4296609163284302,0.5022255182266235,-0.02977275848388672,-0.0019621551036834717,False
vit_base_patch16_224,cait_s24_224,4,ILSVRC2012_val_00024637.JPEG,block6,no_drop,True,0.0931449607014656,0.09665971994400024,0.5227200388908386,0.525995135307312,0.6999225616455078,0.5825309753417969,False
vit_base_patch16_224,cait_s24_224,5,ILSVRC2012_val_00024710.JPEG,block6,no_drop,True,0.004802654031664133,0.005393491592258215,0.5002856850624084,0.5002391338348389,-0.11948966979980469,-0.008001640439033508,False
