source_model,sample_index,image_name,layer,condition,global_polarity,global_mode,grid_h,grid_w,drop_count,drop_ratio,global_cosine_clean_masked,kept_token_cosine_clean_masked,score_map_spearman_clean_masked,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
vit_base_patch16_224,0,ILSVRC2012_val_00024479.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9979342222213745,0.9333409070968628,0.8058745861053467,0.002675106981769204,0.20216141641139984,0.5470258593559265,19.731369018554688
vit_base_patch16_224,1,ILSVRC2012_val_00024540.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9976298213005066,0.939146876335144,0.7688132524490356,-0.0023418988566845655,0.2378316968679428,0.563300371170044,19.661623001098633
vit_base_patch16_224,2,ILSVRC2012_val_00024550.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9976063370704651,0.9303662776947021,0.767393171787262,-0.0060905227437615395,0.24011926352977753,0.5581567287445068,19.0198974609375
vit_base_patch16_224,3,ILSVRC2012_val_00024609.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9965481162071228,0.8969265222549438,0.7218035459518433,0.027976855635643005,0.26181760430336,0.5904269814491272,19.229158401489258
vit_base_patch16_224,4,ILSVRC2012_val_00024637.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9981172680854797,0.943734884262085,0.8568193316459656,0.0619698092341423,0.3260483741760254,0.5794781446456909,18.617931365966797
vit_base_patch16_224,5,ILSVRC2012_val_00024710.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9971749186515808,0.8912729024887085,0.7561172842979431,-0.007190092466771603,0.23384185135364532,0.5639837384223938,19.766664505004883
vit_base_patch16_224,6,ILSVRC2012_val_00024753.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9978818893432617,0.9289326667785645,0.8003331422805786,0.005872623063623905,0.19405700266361237,0.5478386878967285,19.70768165588379
vit_base_patch16_224,7,ILSVRC2012_val_00024781.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9984002709388733,0.9444112181663513,0.8117046356201172,0.022073891013860703,0.24909456074237823,0.5638402700424194,19.46294593811035
vit_base_patch16_224,8,ILSVRC2012_val_00024926.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9973427057266235,0.9497126936912537,0.8700714707374573,-0.0009962189942598343,0.24342207610607147,0.5655033588409424,19.546123504638672
vit_base_patch16_224,9,ILSVRC2012_val_00025075.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9986216425895691,0.9358746409416199,0.8965009450912476,0.00173352868296206,0.1897531896829605,0.552702784538269,19.919832229614258
vit_base_patch16_224,10,ILSVRC2012_val_00025315.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9984431266784668,0.9412602186203003,0.8499406576156616,0.02370818518102169,0.23469002544879913,0.5528844594955444,19.50098991394043
vit_base_patch16_224,11,ILSVRC2012_val_00025390.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9982352256774902,0.9226318001747131,0.8021404147148132,0.011142576113343239,0.27703267335891724,0.5673656463623047,19.30504035949707
vit_base_patch16_224,12,ILSVRC2012_val_00025402.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9976524114608765,0.9366874694824219,0.8146212100982666,0.005384337622672319,0.15350893139839172,0.5699963569641113,19.60797119140625
vit_base_patch16_224,13,ILSVRC2012_val_00025408.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9974932670593262,0.9389679431915283,0.9008965492248535,-0.000815092003904283,0.18704918026924133,0.5389030575752258,19.76738929748535
vit_base_patch16_224,14,ILSVRC2012_val_00025416.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9982254505157471,0.936094343662262,0.8040290474891663,0.006788637954741716,0.23377180099487305,0.5494417548179626,19.309091567993164
vit_base_patch16_224,15,ILSVRC2012_val_00025440.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9985435605049133,0.9478991627693176,0.8435846567153931,0.00917409174144268,0.2521613538265228,0.5710512399673462,19.676836013793945
vit_base_patch16_224,16,ILSVRC2012_val_00025446.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9947524666786194,0.9231356382369995,0.8426332473754883,0.004868750460445881,0.1553320735692978,0.5540177226066589,19.687183380126953
vit_base_patch16_224,17,ILSVRC2012_val_00025563.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9983516931533813,0.9526494145393372,0.8429392576217651,0.0024474337697029114,0.27144119143486023,0.5822975039482117,19.151351928710938
vit_base_patch16_224,18,ILSVRC2012_val_00025800.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9982108473777771,0.926737904548645,0.7711225748062134,0.0033128950744867325,0.20910072326660156,0.5417781472206116,19.09848976135254
vit_base_patch16_224,19,ILSVRC2012_val_00025844.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9973933100700378,0.9388982057571411,0.9001028537750244,0.011275051161646843,0.21436019241809845,0.5577738881111145,19.827089309692383
vit_base_patch16_224,20,ILSVRC2012_val_00025851.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.998265266418457,0.9326788783073425,0.8491119146347046,0.01785726100206375,0.23424465954303741,0.5689620971679688,19.709312438964844
vit_base_patch16_224,21,ILSVRC2012_val_00025907.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9970431327819824,0.9563716650009155,0.9014160633087158,0.01662829890847206,0.16371485590934753,0.5715362429618835,19.352766036987305
vit_base_patch16_224,22,ILSVRC2012_val_00025989.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9982032775878906,0.9221832752227783,0.8510801792144775,-0.013735337182879448,0.14431096613407135,0.5773686766624451,19.568527221679688
vit_base_patch16_224,23,ILSVRC2012_val_00026068.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9970886707305908,0.9343681335449219,0.8895074129104614,-0.003815444651991129,0.1722802221775055,0.5464481115341187,19.928878784179688
vit_base_patch16_224,24,ILSVRC2012_val_00026088.JPEG,block6,selected,high,cls,14,14,29,0.14795918762683868,0.9977567195892334,0.9135809540748596,0.7539306879043579,0.007658934220671654,0.1876491755247116,0.5605921149253845,19.93146324157715
