source_model,target_model,polarity,layer,asr,successes,target_clean_correct
cait_s24_224,vit_base_patch16_224,high,block6_gap,0.9140625,117,128
cait_s24_224,vit_base_patch16_224,high,block12_gap,0.90625,116,128
cait_s24_224,vit_base_patch16_224,high,block18_gap,0.8828125,113,128
cait_s24_224,vit_base_patch16_224,high,block24_gap,0.9296875,119,128
cait_s24_224,vit_base_patch16_224,high,block24_class,0.921875,118,128
cait_s24_224,vit_base_patch16_224,low,block6_gap,0.9375,120,128
cait_s24_224,vit_base_patch16_224,low,block12_gap,0.9453125,121,128
cait_s24_224,vit_base_patch16_224,low,block18_gap,0.9296875,119,128
cait_s24_224,vit_base_patch16_224,low,block24_gap,0.9296875,119,128
cait_s24_224,vit_base_patch16_224,low,block24_class,0.921875,118,128
pit_b_224,vit_base_patch16_224,high,stage1_block3,0.8125,104,128
pit_b_224,vit_base_patch16_224,high,stage2_block3,0.796875,102,128
pit_b_224,vit_base_patch16_224,high,stage2_block6,0.8046875,103,128
pit_b_224,vit_base_patch16_224,high,stage3_block2,0.8671875,111,128
pit_b_224,vit_base_patch16_224,high,stage3_block4,0.859375,110,128
pit_b_224,vit_base_patch16_224,low,stage1_block3,0.7734375,99,128
pit_b_224,vit_base_patch16_224,low,stage2_block3,0.828125,106,128
pit_b_224,vit_base_patch16_224,low,stage2_block6,0.8125,104,128
pit_b_224,vit_base_patch16_224,low,stage3_block2,0.875,112,128
pit_b_224,vit_base_patch16_224,low,stage3_block4,0.859375,110,128
visformer_small,vit_base_patch16_224,high,stage1_block4,0.53125,68,128
visformer_small,vit_base_patch16_224,high,stage1_block7,0.5234375,67,128
visformer_small,vit_base_patch16_224,high,stage2_block4,0.6015625,77,128
visformer_small,vit_base_patch16_224,high,stage3_block2,0.6484375,83,128
visformer_small,vit_base_patch16_224,high,stage3_block4,0.609375,78,128
visformer_small,vit_base_patch16_224,low,stage1_block4,0.4140625,53,128
visformer_small,vit_base_patch16_224,low,stage1_block7,0.4609375,59,128
visformer_small,vit_base_patch16_224,low,stage2_block4,0.625,80,128
visformer_small,vit_base_patch16_224,low,stage3_block2,0.59375,76,128
visformer_small,vit_base_patch16_224,low,stage3_block4,0.6171875,79,128
vit_base_patch16_224,cait_s24_224,high,block3,0.8828125,113,128
vit_base_patch16_224,cait_s24_224,high,block6,0.8984375,115,128
vit_base_patch16_224,cait_s24_224,high,block9,0.875,112,128
vit_base_patch16_224,cait_s24_224,high,block12,0.90625,116,128
vit_base_patch16_224,cait_s24_224,low,block3,0.890625,114,128
vit_base_patch16_224,cait_s24_224,low,block6,0.875,112,128
vit_base_patch16_224,cait_s24_224,low,block9,0.875,112,128
vit_base_patch16_224,cait_s24_224,low,block12,0.84375,108,128
pit_b_224,cait_s24_224,high,stage1_block3,0.8671875,111,128
pit_b_224,cait_s24_224,high,stage2_block3,0.8359375,107,128
pit_b_224,cait_s24_224,high,stage2_block6,0.84375,108,128
pit_b_224,cait_s24_224,high,stage3_block2,0.890625,114,128
pit_b_224,cait_s24_224,high,stage3_block4,0.890625,114,128
pit_b_224,cait_s24_224,low,stage1_block3,0.8671875,111,128
pit_b_224,cait_s24_224,low,stage2_block3,0.828125,106,128
pit_b_224,cait_s24_224,low,stage2_block6,0.859375,110,128
pit_b_224,cait_s24_224,low,stage3_block2,0.8984375,115,128
pit_b_224,cait_s24_224,low,stage3_block4,0.90625,116,128
visformer_small,cait_s24_224,high,stage1_block4,0.71875,92,128
visformer_small,cait_s24_224,high,stage1_block7,0.6796875,87,128
visformer_small,cait_s24_224,high,stage2_block4,0.8203125,105,128
visformer_small,cait_s24_224,high,stage3_block2,0.8359375,107,128
visformer_small,cait_s24_224,high,stage3_block4,0.8125,104,128
visformer_small,cait_s24_224,low,stage1_block4,0.6484375,83,128
visformer_small,cait_s24_224,low,stage1_block7,0.6640625,85,128
visformer_small,cait_s24_224,low,stage2_block4,0.828125,106,128
visformer_small,cait_s24_224,low,stage3_block2,0.796875,102,128
visformer_small,cait_s24_224,low,stage3_block4,0.8203125,105,128
vit_base_patch16_224,pit_b_224,high,block3,0.8046875,103,128
vit_base_patch16_224,pit_b_224,high,block6,0.8125,104,128
vit_base_patch16_224,pit_b_224,high,block9,0.8359375,107,128
vit_base_patch16_224,pit_b_224,high,block12,0.84375,108,128
vit_base_patch16_224,pit_b_224,low,block3,0.796875,102,128
vit_base_patch16_224,pit_b_224,low,block6,0.8046875,103,128
vit_base_patch16_224,pit_b_224,low,block9,0.796875,102,128
vit_base_patch16_224,pit_b_224,low,block12,0.796875,102,128
cait_s24_224,pit_b_224,high,block6_gap,0.8984375,115,128
cait_s24_224,pit_b_224,high,block12_gap,0.8984375,115,128
cait_s24_224,pit_b_224,high,block18_gap,0.875,112,128
cait_s24_224,pit_b_224,high,block24_gap,0.90625,116,128
cait_s24_224,pit_b_224,high,block24_class,0.8984375,115,128
cait_s24_224,pit_b_224,low,block6_gap,0.9140625,117,128
cait_s24_224,pit_b_224,low,block12_gap,0.90625,116,128
cait_s24_224,pit_b_224,low,block18_gap,0.890625,114,128
cait_s24_224,pit_b_224,low,block24_gap,0.859375,110,128
cait_s24_224,pit_b_224,low,block24_class,0.8984375,115,128
visformer_small,pit_b_224,high,stage1_block4,0.75,96,128
visformer_small,pit_b_224,high,stage1_block7,0.75,96,128
visformer_small,pit_b_224,high,stage2_block4,0.859375,110,128
visformer_small,pit_b_224,high,stage3_block2,0.8828125,113,128
visformer_small,pit_b_224,high,stage3_block4,0.859375,110,128
visformer_small,pit_b_224,low,stage1_block4,0.7265625,93,128
visformer_small,pit_b_224,low,stage1_block7,0.765625,98,128
visformer_small,pit_b_224,low,stage2_block4,0.8671875,111,128
visformer_small,pit_b_224,low,stage3_block2,0.890625,114,128
visformer_small,pit_b_224,low,stage3_block4,0.875,112,128
vit_base_patch16_224,visformer_small,high,block3,0.828125,106,128
vit_base_patch16_224,visformer_small,high,block6,0.8125,104,128
vit_base_patch16_224,visformer_small,high,block9,0.84375,108,128
vit_base_patch16_224,visformer_small,high,block12,0.8359375,107,128
vit_base_patch16_224,visformer_small,low,block3,0.828125,106,128
vit_base_patch16_224,visformer_small,low,block6,0.8125,104,128
vit_base_patch16_224,visformer_small,low,block9,0.8359375,107,128
vit_base_patch16_224,visformer_small,low,block12,0.8125,104,128
cait_s24_224,visformer_small,high,block6_gap,0.8984375,115,128
cait_s24_224,visformer_small,high,block12_gap,0.875,112,128
cait_s24_224,visformer_small,high,block18_gap,0.859375,110,128
cait_s24_224,visformer_small,high,block24_gap,0.90625,116,128
cait_s24_224,visformer_small,high,block24_class,0.90625,116,128
cait_s24_224,visformer_small,low,block6_gap,0.921875,118,128
cait_s24_224,visformer_small,low,block12_gap,0.9296875,119,128
cait_s24_224,visformer_small,low,block18_gap,0.8984375,115,128
cait_s24_224,visformer_small,low,block24_gap,0.890625,114,128
cait_s24_224,visformer_small,low,block24_class,0.8984375,115,128
pit_b_224,visformer_small,high,stage1_block3,0.9140625,117,128
pit_b_224,visformer_small,high,stage2_block3,0.9140625,117,128
pit_b_224,visformer_small,high,stage2_block6,0.9375,120,128
pit_b_224,visformer_small,high,stage3_block2,0.9296875,119,128
pit_b_224,visformer_small,high,stage3_block4,0.9140625,117,128
pit_b_224,visformer_small,low,stage1_block3,0.875,112,128
pit_b_224,visformer_small,low,stage2_block3,0.9140625,117,128
pit_b_224,visformer_small,low,stage2_block6,0.8984375,115,128
pit_b_224,visformer_small,low,stage3_block2,0.9375,120,128
pit_b_224,visformer_small,low,stage3_block4,0.9453125,121,128
