source_model,target_model,polarity,layer,asr,successes,target_clean_correct
cait_s24_224,vit_base_patch16_224,high,block6_gap,0.828125,106,128
cait_s24_224,vit_base_patch16_224,high,block12_gap,0.875,112,128
cait_s24_224,vit_base_patch16_224,high,block18_gap,0.84375,108,128
cait_s24_224,vit_base_patch16_224,high,block24_gap,0.890625,114,128
cait_s24_224,vit_base_patch16_224,high,block24_class,0.8515625,109,128
cait_s24_224,vit_base_patch16_224,low,block6_gap,0.8515625,109,128
cait_s24_224,vit_base_patch16_224,low,block12_gap,0.8046875,103,128
cait_s24_224,vit_base_patch16_224,low,block18_gap,0.875,112,128
cait_s24_224,vit_base_patch16_224,low,block24_gap,0.859375,110,128
cait_s24_224,vit_base_patch16_224,low,block24_class,0.8359375,107,128
pit_b_224,vit_base_patch16_224,high,stage1_block3,0.4375,56,128
pit_b_224,vit_base_patch16_224,high,stage2_block3,0.5234375,67,128
pit_b_224,vit_base_patch16_224,high,stage2_block6,0.5703125,73,128
pit_b_224,vit_base_patch16_224,high,stage3_block2,0.6484375,83,128
pit_b_224,vit_base_patch16_224,high,stage3_block4,0.6328125,81,128
pit_b_224,vit_base_patch16_224,low,stage1_block3,0.4765625,61,128
pit_b_224,vit_base_patch16_224,low,stage2_block3,0.65625,84,128
pit_b_224,vit_base_patch16_224,low,stage2_block6,0.6171875,79,128
pit_b_224,vit_base_patch16_224,low,stage3_block2,0.609375,78,128
pit_b_224,vit_base_patch16_224,low,stage3_block4,0.6171875,79,128
visformer_small,vit_base_patch16_224,high,stage1_block4,0.2578125,33,128
visformer_small,vit_base_patch16_224,high,stage1_block7,0.2578125,33,128
visformer_small,vit_base_patch16_224,high,stage2_block4,0.34375,44,128
visformer_small,vit_base_patch16_224,high,stage3_block2,0.40625,52,128
visformer_small,vit_base_patch16_224,high,stage3_block4,0.390625,50,128
visformer_small,vit_base_patch16_224,low,stage1_block4,0.15625,20,128
visformer_small,vit_base_patch16_224,low,stage1_block7,0.1796875,23,128
visformer_small,vit_base_patch16_224,low,stage2_block4,0.2734375,35,128
visformer_small,vit_base_patch16_224,low,stage3_block2,0.4375,56,128
visformer_small,vit_base_patch16_224,low,stage3_block4,0.421875,54,128
vit_base_patch16_224,cait_s24_224,high,block3,0.8203125,105,128
vit_base_patch16_224,cait_s24_224,high,block6,0.8515625,109,128
vit_base_patch16_224,cait_s24_224,high,block9,0.8046875,103,128
vit_base_patch16_224,cait_s24_224,high,block12,0.828125,106,128
vit_base_patch16_224,cait_s24_224,low,block3,0.8125,104,128
vit_base_patch16_224,cait_s24_224,low,block6,0.8046875,103,128
vit_base_patch16_224,cait_s24_224,low,block9,0.828125,106,128
vit_base_patch16_224,cait_s24_224,low,block12,0.796875,102,128
pit_b_224,cait_s24_224,high,stage1_block3,0.5859375,75,128
pit_b_224,cait_s24_224,high,stage2_block3,0.640625,82,128
pit_b_224,cait_s24_224,high,stage2_block6,0.6796875,87,128
pit_b_224,cait_s24_224,high,stage3_block2,0.71875,92,128
pit_b_224,cait_s24_224,high,stage3_block4,0.7421875,95,128
