source_model,condition,sample_index,image_name,raw_source_gradient_cosine,processed_source_gradient_cosine
vit_base_patch16_224,uniform,0,ILSVRC2012_val_00037758.JPEG,0.044213734567165375,0.04319879412651062
vit_base_patch16_224,uniform,1,ILSVRC2012_val_00037916.JPEG,0.04498342052102089,0.04965059831738472
vit_base_patch16_224,cov_plus,0,ILSVRC2012_val_00037758.JPEG,0.05166764557361603,0.05051985755562782
vit_base_patch16_224,cov_plus,1,ILSVRC2012_val_00037916.JPEG,0.04199626296758652,0.04651343822479248
vit_base_patch16_224,cov_minus,0,ILSVRC2012_val_00037758.JPEG,0.03581731766462326,0.034955114126205444
vit_base_patch16_224,cov_minus,1,ILSVRC2012_val_00037916.JPEG,0.04786759614944458,0.05264466255903244
vit_base_patch16_224,shuffled_plus,0,ILSVRC2012_val_00037758.JPEG,0.04956812039017677,0.048396527767181396
vit_base_patch16_224,shuffled_plus,1,ILSVRC2012_val_00037916.JPEG,0.04845935106277466,0.053077053278684616
vit_base_patch16_224,shuffled_minus,0,ILSVRC2012_val_00037758.JPEG,0.03796451538801193,0.03711579740047455
vit_base_patch16_224,shuffled_minus,1,ILSVRC2012_val_00037916.JPEG,0.041179411113262177,0.04584950953722
vit_base_patch16_224,permuted_plus,0,ILSVRC2012_val_00037758.JPEG,0.04576550051569939,0.04467223584651947
vit_base_patch16_224,permuted_plus,1,ILSVRC2012_val_00037916.JPEG,0.04248255118727684,0.04707787185907364
vit_base_patch16_224,permuted_minus,0,ILSVRC2012_val_00037758.JPEG,0.042369842529296875,0.04143110662698746
vit_base_patch16_224,permuted_minus,1,ILSVRC2012_val_00037916.JPEG,0.04683959484100342,0.051562678068876266
vit_base_patch16_224,random_plus,0,ILSVRC2012_val_00037758.JPEG,0.0431281253695488,0.04216664656996727
vit_base_patch16_224,random_plus,1,ILSVRC2012_val_00037916.JPEG,0.042725976556539536,0.04734956473112106
vit_base_patch16_224,random_minus,0,ILSVRC2012_val_00037758.JPEG,0.04477962851524353,0.043718889355659485
vit_base_patch16_224,random_minus,1,ILSVRC2012_val_00037916.JPEG,0.04665838181972504,0.05133102834224701
vit_base_patch16_224,direct_plus,0,ILSVRC2012_val_00037758.JPEG,0.027860142290592194,0.02693725936114788
vit_base_patch16_224,direct_plus,1,ILSVRC2012_val_00037916.JPEG,0.07939562946557999,0.08359438925981522
vit_base_patch16_224,direct_minus,0,ILSVRC2012_val_00037758.JPEG,0.05991671234369278,0.05883072316646576
vit_base_patch16_224,direct_minus,1,ILSVRC2012_val_00037916.JPEG,0.009787162765860558,0.014860027469694614
vit_base_patch16_224,uniform,2,ILSVRC2012_val_00037926.JPEG,0.055584508925676346,0.05696918070316315
vit_base_patch16_224,uniform,3,ILSVRC2012_val_00037929.JPEG,0.0014042658731341362,-0.0003693811595439911
vit_base_patch16_224,cov_plus,2,ILSVRC2012_val_00037926.JPEG,0.0665135383605957,0.06765255331993103
vit_base_patch16_224,cov_plus,3,ILSVRC2012_val_00037929.JPEG,-0.002983303740620613,-0.004795379005372524
vit_base_patch16_224,cov_minus,2,ILSVRC2012_val_00037926.JPEG,0.04427989199757576,0.045888982713222504
vit_base_patch16_224,cov_minus,3,ILSVRC2012_val_00037929.JPEG,0.006250717211514711,0.004516819026321173
vit_base_patch16_224,shuffled_plus,2,ILSVRC2012_val_00037926.JPEG,0.06413348019123077,0.06546272337436676
vit_base_patch16_224,shuffled_plus,3,ILSVRC2012_val_00037929.JPEG,0.0005933279171586037,-0.0010867342352867126
vit_base_patch16_224,shuffled_minus,2,ILSVRC2012_val_00037926.JPEG,0.04706136882305145,0.04846518114209175
vit_base_patch16_224,shuffled_minus,3,ILSVRC2012_val_00037929.JPEG,0.002116341143846512,0.00027884868904948235
vit_base_patch16_224,permuted_plus,2,ILSVRC2012_val_00037926.JPEG,0.06049361079931259,0.06186895817518234
vit_base_patch16_224,permuted_plus,3,ILSVRC2012_val_00037929.JPEG,0.0009062634781002998,-0.000902063213288784
vit_base_patch16_224,permuted_minus,2,ILSVRC2012_val_00037926.JPEG,0.05034983530640602,0.05172046646475792
vit_base_patch16_224,permuted_minus,3,ILSVRC2012_val_00037929.JPEG,0.0018774019554257393,0.0001625572331249714
vit_base_patch16_224,random_plus,2,ILSVRC2012_val_00037926.JPEG,0.056296780705451965,0.05757328122854233
vit_base_patch16_224,random_plus,3,ILSVRC2012_val_00037929.JPEG,-0.0009545306675136089,-0.0027975821867585182
vit_base_patch16_224,random_minus,2,ILSVRC2012_val_00037926.JPEG,0.05399748682975769,0.05549737066030502
vit_base_patch16_224,random_minus,3,ILSVRC2012_val_00037929.JPEG,0.0041106827557086945,0.002424872014671564
vit_base_patch16_224,direct_plus,2,ILSVRC2012_val_00037926.JPEG,0.0976003035902977,0.09828231483697891
vit_base_patch16_224,direct_plus,3,ILSVRC2012_val_00037929.JPEG,-0.09931456297636032,-0.10377165675163269
vit_base_patch16_224,direct_minus,2,ILSVRC2012_val_00037926.JPEG,0.012491196393966675,0.014564044773578644
vit_base_patch16_224,direct_minus,3,ILSVRC2012_val_00037929.JPEG,0.1020653024315834,0.10306037962436676
vit_base_patch16_224,uniform,4,ILSVRC2012_val_00038033.JPEG,0.004659960977733135,0.0034627639688551426
vit_base_patch16_224,uniform,5,ILSVRC2012_val_00038096.JPEG,0.09617289900779724,0.09919644892215729
vit_base_patch16_224,cov_plus,4,ILSVRC2012_val_00038033.JPEG,0.005926067009568214,0.004699221346527338
vit_base_patch16_224,cov_plus,5,ILSVRC2012_val_00038096.JPEG,0.10825814306735992,0.11071489751338959
vit_base_patch16_224,cov_minus,4,ILSVRC2012_val_00038033.JPEG,0.0032276269048452377,0.0020788228139281273
vit_base_patch16_224,cov_minus,5,ILSVRC2012_val_00038096.JPEG,0.08161774277687073,0.08532591909170151
vit_base_patch16_224,shuffled_plus,4,ILSVRC2012_val_00038033.JPEG,0.0028602578677237034,0.002060862723737955
vit_base_patch16_224,shuffled_plus,5,ILSVRC2012_val_00038096.JPEG,0.092243492603302,0.0955856442451477
vit_base_patch16_224,shuffled_minus,4,ILSVRC2012_val_00038033.JPEG,0.006433518137782812,0.004841987509280443
vit_base_patch16_224,shuffled_minus,5,ILSVRC2012_val_00038096.JPEG,0.09875703603029251,0.10151377320289612
vit_base_patch16_224,permuted_plus,4,ILSVRC2012_val_00038033.JPEG,0.0033874651417136192,0.0019433009438216686
vit_base_patch16_224,permuted_plus,5,ILSVRC2012_val_00038096.JPEG,0.09107860177755356,0.0943274199962616
vit_base_patch16_224,permuted_minus,4,ILSVRC2012_val_00038033.JPEG,0.005874036345630884,0.004948813933879137
vit_base_patch16_224,permuted_minus,5,ILSVRC2012_val_00038096.JPEG,0.09990110993385315,0.10275397449731827
vit_base_patch16_224,random_plus,4,ILSVRC2012_val_00038033.JPEG,0.004011522978544235,0.0029089576564729214
vit_base_patch16_224,random_plus,5,ILSVRC2012_val_00038096.JPEG,0.09347660094499588,0.09638770669698715
vit_base_patch16_224,random_minus,4,ILSVRC2012_val_00038033.JPEG,0.0052723148837685585,0.003993764519691467
vit_base_patch16_224,random_minus,5,ILSVRC2012_val_00038096.JPEG,0.09741324186325073,0.100608691573143
vit_base_patch16_224,direct_plus,4,ILSVRC2012_val_00038033.JPEG,-0.005136081948876381,-0.006513798609375954
vit_base_patch16_224,direct_plus,5,ILSVRC2012_val_00038096.JPEG,0.1171381026506424,0.11957003176212311
vit_base_patch16_224,direct_minus,4,ILSVRC2012_val_00038033.JPEG,0.014579348266124725,0.013579091057181358
vit_base_patch16_224,direct_minus,5,ILSVRC2012_val_00038096.JPEG,0.07350079715251923,0.07703530788421631
vit_base_patch16_224,uniform,6,ILSVRC2012_val_00038110.JPEG,0.014547087252140045,0.014162956736981869
vit_base_patch16_224,uniform,7,ILSVRC2012_val_00038142.JPEG,0.005649643950164318,0.00680898129940033
vit_base_patch16_224,cov_plus,6,ILSVRC2012_val_00038110.JPEG,0.012539430521428585,0.012183688580989838
vit_base_patch16_224,cov_plus,7,ILSVRC2012_val_00038142.JPEG,0.0070559186860919,0.00814775750041008
vit_base_patch16_224,cov_minus,6,ILSVRC2012_val_00038110.JPEG,0.016127124428749084,0.01572503335773945
vit_base_patch16_224,cov_minus,7,ILSVRC2012_val_00038142.JPEG,0.003867129795253277,0.00510848592966795
vit_base_patch16_224,shuffled_plus,6,ILSVRC2012_val_00038110.JPEG,0.012954283505678177,0.01265922375023365
vit_base_patch16_224,shuffled_plus,7,ILSVRC2012_val_00038142.JPEG,0.0071323830634355545,0.008395676501095295
vit_base_patch16_224,shuffled_minus,6,ILSVRC2012_val_00038110.JPEG,0.01597443036735058,0.0155038982629776
vit_base_patch16_224,shuffled_minus,7,ILSVRC2012_val_00038142.JPEG,0.004366623237729073,0.005426843650639057
vit_base_patch16_224,permuted_plus,6,ILSVRC2012_val_00038110.JPEG,0.016046438366174698,0.015617511235177517
vit_base_patch16_224,permuted_plus,7,ILSVRC2012_val_00038142.JPEG,0.006547836586833,0.0076322793029248714
vit_base_patch16_224,permuted_minus,6,ILSVRC2012_val_00038110.JPEG,0.012723598629236221,0.012395991012454033
vit_base_patch16_224,permuted_minus,7,ILSVRC2012_val_00038142.JPEG,0.004513636697083712,0.0057581691071391106
vit_base_patch16_224,random_plus,6,ILSVRC2012_val_00038110.JPEG,0.013775335624814034,0.013459469191730022
vit_base_patch16_224,random_plus,7,ILSVRC2012_val_00038142.JPEG,0.00618026964366436,0.007479451596736908
vit_base_patch16_224,random_minus,6,ILSVRC2012_val_00038110.JPEG,0.015240154229104519,0.01478120218962431
vit_base_patch16_224,random_minus,7,ILSVRC2012_val_00038142.JPEG,0.005191987846046686,0.006230475381016731
vit_base_patch16_224,direct_plus,6,ILSVRC2012_val_00038110.JPEG,-0.10287095606327057,-0.10016361624002457
vit_base_patch16_224,direct_plus,7,ILSVRC2012_val_00038142.JPEG,0.026633763685822487,0.02728661149740219
vit_base_patch16_224,direct_minus,6,ILSVRC2012_val_00038110.JPEG,0.13118471205234528,0.1277589499950409
vit_base_patch16_224,direct_minus,7,ILSVRC2012_val_00038142.JPEG,-0.015478625893592834,-0.013836517930030823
vit_base_patch16_224,uniform,8,ILSVRC2012_val_00038157.JPEG,0.050616804510354996,0.05241578072309494
vit_base_patch16_224,uniform,9,ILSVRC2012_val_00038221.JPEG,0.005486688576638699,0.0031847376376390457
vit_base_patch16_224,cov_plus,8,ILSVRC2012_val_00038157.JPEG,0.056535907089710236,0.058215610682964325
vit_base_patch16_224,cov_plus,9,ILSVRC2012_val_00038221.JPEG,0.0019995602779090405,-0.0003090327372774482
vit_base_patch16_224,cov_minus,8,ILSVRC2012_val_00038157.JPEG,0.04424062743782997,0.046137452125549316
vit_base_patch16_224,cov_minus,9,ILSVRC2012_val_00038221.JPEG,0.008716050535440445,0.006446084938943386
vit_base_patch16_224,shuffled_plus,8,ILSVRC2012_val_00038157.JPEG,0.045329395681619644,0.047098226845264435
vit_base_patch16_224,shuffled_plus,9,ILSVRC2012_val_00038221.JPEG,0.002090386115014553,-0.0003314607311040163
vit_base_patch16_224,shuffled_minus,8,ILSVRC2012_val_00038157.JPEG,0.05641242861747742,0.058197278529405594
vit_base_patch16_224,shuffled_minus,9,ILSVRC2012_val_00038221.JPEG,0.008451184257864952,0.006283314432948828
vit_base_patch16_224,permuted_plus,8,ILSVRC2012_val_00038157.JPEG,0.04651348292827606,0.04853569716215134
vit_base_patch16_224,permuted_plus,9,ILSVRC2012_val_00038221.JPEG,0.006138342432677746,0.003780169179663062
vit_base_patch16_224,permuted_minus,8,ILSVRC2012_val_00038157.JPEG,0.05388638377189636,0.055457424372434616
vit_base_patch16_224,permuted_minus,9,ILSVRC2012_val_00038221.JPEG,0.004926581867039204,0.002682336140424013
vit_base_patch16_224,random_plus,8,ILSVRC2012_val_00038157.JPEG,0.04842599481344223,0.05010989308357239
vit_base_patch16_224,random_plus,9,ILSVRC2012_val_00038221.JPEG,0.004666280001401901,0.002206859877333045
vit_base_patch16_224,random_minus,8,ILSVRC2012_val_00038157.JPEG,0.05229179188609123,0.05419966205954552
vit_base_patch16_224,random_minus,9,ILSVRC2012_val_00038221.JPEG,0.006126510910689831,0.003955678083002567
vit_base_patch16_224,direct_plus,8,ILSVRC2012_val_00038157.JPEG,0.05248533934354782,0.05420570448040962
vit_base_patch16_224,direct_plus,9,ILSVRC2012_val_00038221.JPEG,-0.010026496835052967,-0.012684168294072151
vit_base_patch16_224,direct_minus,8,ILSVRC2012_val_00038157.JPEG,0.047953300178050995,0.04983241856098175
vit_base_patch16_224,direct_minus,9,ILSVRC2012_val_00038221.JPEG,0.020902857184410095,0.01899462193250656
vit_base_patch16_224,uniform,10,ILSVRC2012_val_00038236.JPEG,0.013653412461280823,0.014032858423888683
vit_base_patch16_224,uniform,11,ILSVRC2012_val_00038251.JPEG,0.034764938056468964,0.035200051963329315
vit_base_patch16_224,cov_plus,10,ILSVRC2012_val_00038236.JPEG,0.015369744971394539,0.015787115320563316
vit_base_patch16_224,cov_plus,11,ILSVRC2012_val_00038251.JPEG,0.03445011377334595,0.03490537405014038
vit_base_patch16_224,cov_minus,10,ILSVRC2012_val_00038236.JPEG,0.011785423383116722,0.012124406173825264
vit_base_patch16_224,cov_minus,11,ILSVRC2012_val_00038251.JPEG,0.03497405722737312,0.03539307415485382
vit_base_patch16_224,shuffled_plus,10,ILSVRC2012_val_00038236.JPEG,0.013350097462534904,0.013571498915553093
vit_base_patch16_224,shuffled_plus,11,ILSVRC2012_val_00038251.JPEG,0.035636402666568756,0.03604128956794739
vit_base_patch16_224,shuffled_minus,10,ILSVRC2012_val_00038236.JPEG,0.013817708939313889,0.014369351789355278
vit_base_patch16_224,shuffled_minus,11,ILSVRC2012_val_00038251.JPEG,0.03353101760149002,0.034013792872428894
vit_base_patch16_224,permuted_plus,10,ILSVRC2012_val_00038236.JPEG,0.0120376693084836,0.012528618797659874
vit_base_patch16_224,permuted_plus,11,ILSVRC2012_val_00038251.JPEG,0.037413328886032104,0.03774507716298103
vit_base_patch16_224,permuted_minus,10,ILSVRC2012_val_00038236.JPEG,0.014975698664784431,0.01524959597736597
vit_base_patch16_224,permuted_minus,11,ILSVRC2012_val_00038251.JPEG,0.03155836462974548,0.03212003782391548
vit_base_patch16_224,random_plus,10,ILSVRC2012_val_00038236.JPEG,0.014755206182599068,0.015157461166381836
vit_base_patch16_224,random_plus,11,ILSVRC2012_val_00038251.JPEG,0.0353727824985981,0.03583693504333496
vit_base_patch16_224,random_minus,10,ILSVRC2012_val_00038236.JPEG,0.012236768379807472,0.012590013444423676
vit_base_patch16_224,random_minus,11,ILSVRC2012_val_00038251.JPEG,0.033606626093387604,0.0340462327003479
vit_base_patch16_224,direct_plus,10,ILSVRC2012_val_00038236.JPEG,0.025736574083566666,0.025927497074007988
vit_base_patch16_224,direct_plus,11,ILSVRC2012_val_00038251.JPEG,0.037156518548727036,0.03740131855010986
vit_base_patch16_224,direct_minus,10,ILSVRC2012_val_00038236.JPEG,0.0013816151767969131,0.001953307306393981
vit_base_patch16_224,direct_minus,11,ILSVRC2012_val_00038251.JPEG,0.0318126417696476,0.03248558193445206
vit_base_patch16_224,uniform,12,ILSVRC2012_val_00038413.JPEG,0.003957067616283894,0.00254156650044024
vit_base_patch16_224,uniform,13,ILSVRC2012_val_00038427.JPEG,0.017495477572083473,0.018242470920085907
vit_base_patch16_224,cov_plus,12,ILSVRC2012_val_00038413.JPEG,0.0028819399885833263,0.0014784373342990875
vit_base_patch16_224,cov_plus,13,ILSVRC2012_val_00038427.JPEG,0.01748475804924965,0.018167605623602867
vit_base_patch16_224,cov_minus,12,ILSVRC2012_val_00038413.JPEG,0.005289305001497269,0.0038666457403451204
vit_base_patch16_224,cov_minus,13,ILSVRC2012_val_00038427.JPEG,0.017277587205171585,0.018080778419971466
vit_base_patch16_224,shuffled_plus,12,ILSVRC2012_val_00038413.JPEG,0.003728100098669529,0.002321664011105895
vit_base_patch16_224,shuffled_plus,13,ILSVRC2012_val_00038427.JPEG,0.01863194815814495,0.019113825634121895
vit_base_patch16_224,shuffled_minus,12,ILSVRC2012_val_00038413.JPEG,0.004124975763261318,0.0027270582504570484
vit_base_patch16_224,shuffled_minus,13,ILSVRC2012_val_00038427.JPEG,0.01609460636973381,0.01709751784801483
vit_base_patch16_224,permuted_plus,12,ILSVRC2012_val_00038413.JPEG,0.0029686642810702324,0.0015368753811344504
vit_base_patch16_224,permuted_plus,13,ILSVRC2012_val_00038427.JPEG,0.016837628558278084,0.01786588877439499
vit_base_patch16_224,permuted_minus,12,ILSVRC2012_val_00038413.JPEG,0.005136280786246061,0.003747616894543171
vit_base_patch16_224,permuted_minus,13,ILSVRC2012_val_00038427.JPEG,0.017947399988770485,0.018386177718639374
vit_base_patch16_224,random_plus,12,ILSVRC2012_val_00038413.JPEG,0.0029769146349281073,0.001601619878783822
vit_base_patch16_224,random_plus,13,ILSVRC2012_val_00038427.JPEG,0.01739613339304924,0.018112732097506523
vit_base_patch16_224,random_minus,12,ILSVRC2012_val_00038413.JPEG,0.005102844908833504,0.003652365645393729
vit_base_patch16_224,random_minus,13,ILSVRC2012_val_00038427.JPEG,0.017325174063444138,0.018102817237377167
vit_base_patch16_224,direct_plus,12,ILSVRC2012_val_00038413.JPEG,0.045638419687747955,0.04202613979578018
vit_base_patch16_224,direct_plus,13,ILSVRC2012_val_00038427.JPEG,0.0341220498085022,0.03493804857134819
vit_base_patch16_224,direct_minus,12,ILSVRC2012_val_00038413.JPEG,-0.038330089300870895,-0.03766828030347824
vit_base_patch16_224,direct_minus,13,ILSVRC2012_val_00038427.JPEG,0.0006587251555174589,0.0013192514888942242
vit_base_patch16_224,uniform,14,ILSVRC2012_val_00038546.JPEG,0.005686631426215172,0.007154770661145449
vit_base_patch16_224,uniform,15,ILSVRC2012_val_00038597.JPEG,0.02232196182012558,0.0228537879884243
vit_base_patch16_224,cov_plus,14,ILSVRC2012_val_00038546.JPEG,0.005872862879186869,0.0072197578847408295
