source_model,target_model,score_kind,sample_index,image_name,score_spearman_raw_target_removal_delta,score_spearman_processed_target_removal_delta,score_spearman_raw_source_removal_delta,score_spearman_processed_source_removal_delta,score_spearman_raw_transfer_selective_benefit,score_spearman_processed_transfer_selective_benefit,score_spearman_view_to_uniform_cosine,topk_processed_target_removal_delta,lowk_processed_target_removal_delta
vit_base_patch16_224,cait_s24_224,phase,0,ILSVRC2012_val_00037758.JPEG,-0.276691734790802,-0.26917290687561035,-0.1984962522983551,-0.21503755450248718,-0.2842105031013489,-0.27368420362472534,0.06015036255121231,0.00027401672559790313,0.0008888840093277395
vit_base_patch16_224,cait_s24_224,phase,1,ILSVRC2012_val_00037916.JPEG,0.06466162949800491,0.039097726345062256,-0.8390977382659912,-0.8406014442443848,-0.7669172883033752,-0.7308270931243896,0.5413533449172974,0.0006426399922929704,-0.0004891017451882362
vit_base_patch16_224,cait_s24_224,flip,0,ILSVRC2012_val_00037758.JPEG,-0.35789474844932556,-0.3593985140323639,-0.34887218475341797,-0.3684210479259491,-0.42706769704818726,-0.4000000059604645,0.13684210181236267,0.00013773721002507955,0.0011345905950292945
vit_base_patch16_224,cait_s24_224,flip,1,ILSVRC2012_val_00037916.JPEG,-0.19849622249603271,-0.11578945815563202,-0.24511279165744781,-0.27518796920776367,-0.18796995282173157,-0.21804513037204742,0.25263160467147827,0.0006208528066053987,-2.4336948627023958e-05
vit_base_patch16_224,cait_s24_224,consensus,0,ILSVRC2012_val_00037758.JPEG,-0.3218045234680176,-0.31578946113586426,-0.26466163992881775,-0.27819550037384033,-0.34436091780662537,-0.32030078768730164,0.13984963297843933,7.148366421461105e-05,0.0011345905950292945
vit_base_patch16_224,cait_s24_224,consensus,1,ILSVRC2012_val_00037916.JPEG,-0.15037594735622406,-0.09172932803630829,-0.5819549560546875,-0.6015037894248962,-0.5007519125938416,-0.5097744464874268,0.5112782120704651,-0.0001919260248541832,-0.0005266433581709862
vit_base_patch16_224,cait_s24_224,shuffled_semantic,0,ILSVRC2012_val_00037758.JPEG,0.3593984842300415,0.3699248135089874,0.4932330846786499,0.5278195738792419,0.48120301961898804,0.5037593841552734,0.3323308229446411,0.0007698799599893391,-0.0005904946592636406
vit_base_patch16_224,cait_s24_224,shuffled_semantic,1,ILSVRC2012_val_00037916.JPEG,0.00300753116607666,0.03308270499110222,-0.3323308229446411,-0.37142857909202576,-0.3052631616592407,-0.3172932267189026,0.43609023094177246,-8.037127554416656e-05,-0.00014326888776849955
vit_base_patch16_224,cait_s24_224,permuted_score,0,ILSVRC2012_val_00037758.JPEG,-0.013533860445022583,0.028571411967277527,-0.04060149937868118,-0.05563909932971001,-0.04210525006055832,-0.036090217530727386,-0.07218047231435776,-2.805236726999283e-05,0.0006947045330889523
vit_base_patch16_224,cait_s24_224,permuted_score,1,ILSVRC2012_val_00037916.JPEG,-0.13233083486557007,-0.10676691681146622,0.4571428596973419,0.48721805214881897,0.5007519125938416,0.44962406158447266,-0.46315792202949524,-0.0006943352636881173,0.00029225050820969045
vit_base_patch16_224,cait_s24_224,phase,2,ILSVRC2012_val_00037926.JPEG,-0.03458647057414055,-0.049624063074588776,0.010526314377784729,-0.010526284575462341,-0.052631571888923645,-0.07518796622753143,0.07518795877695084,0.0006868502241559327,-0.0006016511470079422
vit_base_patch16_224,cait_s24_224,phase,3,ILSVRC2012_val_00037929.JPEG,-0.28872182965278625,-0.2661654055118561,0.378947377204895,0.3729323148727417,0.4481202960014343,0.43909773230552673,-0.24511277675628662,-0.00014049453602638096,0.0001843608042690903
vit_base_patch16_224,cait_s24_224,flip,2,ILSVRC2012_val_00037926.JPEG,-0.27067673206329346,-0.28872182965278625,-0.7007519006729126,-0.6962405443191528,-0.5639097094535828,-0.5669172406196594,0.2812030017375946,0.0011198678985238075,0.0007681433344259858
vit_base_patch16_224,cait_s24_224,flip,3,ILSVRC2012_val_00037929.JPEG,0.169924795627594,0.11428572982549667,0.6466165781021118,0.6887218356132507,0.61654132604599,0.6646616458892822,-0.0827067643404007,-0.00012275476183276623,-5.6065735407173634e-05
vit_base_patch16_224,cait_s24_224,consensus,2,ILSVRC2012_val_00037926.JPEG,-0.11428572237491608,-0.12781955301761627,-0.41654133796691895,-0.4330827295780182,-0.4751879572868347,-0.48571425676345825,0.0827067643404007,0.0006868501077406108,0.00015408049512188882
vit_base_patch16_224,cait_s24_224,consensus,3,ILSVRC2012_val_00037929.JPEG,-0.02556391805410385,-0.025563910603523254,0.5278195738792419,0.518796980381012,0.5398496389389038,0.5368421077728271,-0.21353383362293243,-0.00011405113764340058,-6.825478340033442e-05
vit_base_patch16_224,cait_s24_224,shuffled_semantic,2,ILSVRC2012_val_00037926.JPEG,-0.34887218475341797,-0.35187971591949463,-0.0691729336977005,-0.06315788626670837,0.0962405800819397,0.08571426570415497,-0.03458646684885025,-0.0005016137147322297,0.0018836302915588021
vit_base_patch16_224,cait_s24_224,shuffled_semantic,3,ILSVRC2012_val_00037929.JPEG,0.006015028804540634,-0.045112788677215576,0.10375939309597015,0.11729322373867035,0.010526314377784729,0.03157894313335419,-0.16240602731704712,2.8566340915858746e-05,7.544003892689943e-06
vit_base_patch16_224,cait_s24_224,permuted_score,2,ILSVRC2012_val_00037926.JPEG,-0.010526303201913834,-0.028571415692567825,-0.021052636206150055,-0.07518798112869263,-0.04661654680967331,-0.07218044996261597,-0.36090224981307983,-0.000657677766866982,-0.0006715164054185152
vit_base_patch16_224,cait_s24_224,permuted_score,3,ILSVRC2012_val_00037929.JPEG,0.19699248671531677,0.13233081996440887,-0.04511280357837677,0.052631571888923645,-0.040601521730422974,0.006015032529830933,0.2902255654335022,4.333482502261177e-05,-8.797609916655347e-05
vit_base_patch16_224,cait_s24_224,phase,4,ILSVRC2012_val_00038033.JPEG,-0.27819550037384033,-0.1834586262702942,-0.07669174671173096,-0.08421053737401962,-0.10526320338249207,-0.10977445542812347,-0.660150408744812,-0.001876471214927733,0.0024808570742607117
vit_base_patch16_224,cait_s24_224,phase,5,ILSVRC2012_val_00038096.JPEG,-0.22706767916679382,-0.13684208691120148,-0.7849624156951904,-0.7924811840057373,-0.7609022855758667,-0.7338346242904663,0.21954888105392456,-0.0002281665802001953,-6.535463035106659e-05
vit_base_patch16_224,cait_s24_224,flip,4,ILSVRC2012_val_00038033.JPEG,0.2075187861919403,0.32030072808265686,0.07969924062490463,0.06766916811466217,-0.3218045234680176,-0.32932335138320923,-0.39849627017974854,-0.0005103379371576011,-0.002020522253587842
vit_base_patch16_224,cait_s24_224,flip,5,ILSVRC2012_val_00038096.JPEG,-0.20601505041122437,-0.2406015247106552,-0.6646616458892822,-0.6766917705535889,-0.6586465835571289,-0.6330826878547668,0.651127815246582,-0.0005007522413507104,2.4539976948290132e-05
vit_base_patch16_224,cait_s24_224,consensus,4,ILSVRC2012_val_00038033.JPEG,-0.0736842006444931,0.03609025478363037,0.057142846286296844,0.049624040722846985,-0.2586466372013092,-0.24511279165744781,-0.7939849495887756,-0.0008775040623731911,0.0024294578470289707
