seed,source_model,target_model,target_family,source_matched,num_images,asr
20260907,vit_base_patch16_224,vit_base_patch16_224,transformer,true,1000,0.970
20260907,vit_base_patch16_224,levit_256,transformer,false,1000,0.870
20260907,vit_base_patch16_224,pit_b_224,transformer,false,1000,0.880
20260907,vit_base_patch16_224,deit_base_patch16_224,transformer,false,1000,0.901
20260907,vit_base_patch16_224,tnt_s_patch16_224,transformer,false,1000,0.905
20260907,vit_base_patch16_224,convit_base,transformer,false,1000,0.882
20260907,vit_base_patch16_224,visformer_small,transformer,false,1000,0.881
20260907,vit_base_patch16_224,cait_s24_224,transformer,false,1000,0.947
20260907,vit_base_patch16_224,inception_v3,cnn,false,1000,0.805
20260907,vit_base_patch16_224,inception_v4,cnn,false,1000,0.777
20260907,vit_base_patch16_224,inception_resnet_v2,cnn,false,1000,0.782
20260907,vit_base_patch16_224,resnet101,cnn,false,1000,0.813
20260907,vit_base_patch16_224,inception_v3_adv,cnn,false,1000,0.778
20260907,vit_base_patch16_224,inception_resnet_v2_adv,cnn,false,1000,0.737
20260907,cait_s24_224,vit_base_patch16_224,transformer,false,1000,0.854
20260907,cait_s24_224,levit_256,transformer,false,1000,0.894
20260907,cait_s24_224,pit_b_224,transformer,false,1000,0.892
20260907,cait_s24_224,deit_base_patch16_224,transformer,false,1000,0.905
20260907,cait_s24_224,tnt_s_patch16_224,transformer,false,1000,0.900
20260907,cait_s24_224,convit_base,transformer,false,1000,0.893
20260907,cait_s24_224,visformer_small,transformer,false,1000,0.882
20260907,cait_s24_224,cait_s24_224,transformer,true,1000,0.985
20260907,cait_s24_224,inception_v3,cnn,false,1000,0.849
20260907,cait_s24_224,inception_v4,cnn,false,1000,0.822
20260907,cait_s24_224,inception_resnet_v2,cnn,false,1000,0.822
20260907,cait_s24_224,resnet101,cnn,false,1000,0.850
20260907,cait_s24_224,inception_v3_adv,cnn,false,1000,0.813
20260907,cait_s24_224,inception_resnet_v2_adv,cnn,false,1000,0.760
20260907,pit_b_224,vit_base_patch16_224,transformer,false,1000,0.833
20260907,pit_b_224,levit_256,transformer,false,1000,0.874
20260907,pit_b_224,pit_b_224,transformer,true,1000,0.985
20260907,pit_b_224,deit_base_patch16_224,transformer,false,1000,0.913
20260907,pit_b_224,tnt_s_patch16_224,transformer,false,1000,0.908
20260907,pit_b_224,convit_base,transformer,false,1000,0.897
20260907,pit_b_224,visformer_small,transformer,false,1000,0.902
20260907,pit_b_224,cait_s24_224,transformer,false,1000,0.881
20260907,pit_b_224,inception_v3,cnn,false,1000,0.824
20260907,pit_b_224,inception_v4,cnn,false,1000,0.798
20260907,pit_b_224,inception_resnet_v2,cnn,false,1000,0.780
20260907,pit_b_224,resnet101,cnn,false,1000,0.801
20260907,pit_b_224,inception_v3_adv,cnn,false,1000,0.751
20260907,pit_b_224,inception_resnet_v2_adv,cnn,false,1000,0.663
20260907,visformer_small,vit_base_patch16_224,transformer,false,1000,0.649
20260907,visformer_small,levit_256,transformer,false,1000,0.886
20260907,visformer_small,pit_b_224,transformer,false,1000,0.871
20260907,visformer_small,deit_base_patch16_224,transformer,false,1000,0.802
20260907,visformer_small,tnt_s_patch16_224,transformer,false,1000,0.867
20260907,visformer_small,convit_base,transformer,false,1000,0.777
20260907,visformer_small,visformer_small,transformer,true,1000,0.997
20260907,visformer_small,cait_s24_224,transformer,false,1000,0.806
20260907,visformer_small,inception_v3,cnn,false,1000,0.854
20260907,visformer_small,inception_v4,cnn,false,1000,0.850
20260907,visformer_small,inception_resnet_v2,cnn,false,1000,0.789
20260907,visformer_small,resnet101,cnn,false,1000,0.846
20260907,visformer_small,inception_v3_adv,cnn,false,1000,0.730
20260907,visformer_small,inception_resnet_v2_adv,cnn,false,1000,0.567
